,school,home,work,hospital,public
0,0.036946760744066706,0.4913406029506094,0.3039127645926876,0.004618345093008338,0.16318152661962795
0,0.03854554798920725,0.5017345496595144,0.2984710265964281,0.004111525118848773,0.15713735063600154
0,0.04532472370545139,0.47088041723581275,0.28647708928349686,0.0032286104557307837,0.19408915931950826
0,0.05121391472400048,0.4612875951201836,0.27503321657204977,0.0024157506945283245,0.21004952288923784
0,0.04000994035785288,0.48061630218687873,0.29013419483101394,0.003851888667992048,0.18538767395626243
0,0.035540782408591154,0.4950140628995142,0.3029915622602915,0.0034518026080286373,0.16300178982357452
0,0.06017595307917889,0.43718475073313784,0.252316715542522,0.0026979472140762463,0.24762463343108504
0,0.04407951598962835,0.4731448326953945,0.2825040128410915,0.0038276330411161873,0.19644400543276946
0,0.038755736868944415,0.5033146353901071,0.297679755226925,0.00395206527281999,0.15629780724120346
0,0.033885252214093185,0.4978821717366192,0.3002182004877423,0.003850596842510589,0.1641637787190348
0,0.040852351531963184,0.49060648089774306,0.2918925734459715,0.0034043626276635984,0.17324423149665868
0,0.02496626180836707,0.5140350877192983,0.3310391363022942,0.0032388663967611335,0.12672064777327935
0,0.034925993248506884,0.5050636198390028,0.30524539080758245,0.0037652557777200727,0.15099974032718774
0,0.05271392466000722,0.45950174509567937,0.2604404862197617,0.003971597063425201,0.22337224696112648
0,0.037139969681657406,0.4872410308236483,0.29724608388074786,0.0037897928246589186,0.17458312278928753
0,0.05775478281795211,0.4591505234027193,0.25484297918421367,0.004331608711346409,0.2239201058837685
0,0.03240564239420511,0.4947261405515313,0.30080060998856273,0.003812428516965307,0.16825517854873553
0,0.054429157615254645,0.45244991552015446,0.2656287714216751,0.003499879314506396,0.22399227612840936
0,0.04829339143064633,0.46550472040668117,0.2662793512466715,0.0033890099249576375,0.21653352699104333
0,0.04944575912317847,0.48000996388093164,0.27388217710798357,0.0027400672561962883,0.19392203263171004
0,0.03864243040549129,0.4859539850006356,0.2893097750095335,0.005338756832337613,0.18075505275200204
0,0.03307291666666667,0.5088541666666667,0.30520833333333336,0.00390625,0.14895833333333333
0,0.049806107610276304,0.46400872515753755,0.27084343189529814,0.004120213281628696,0.21122152205525932
0,0.05145548979345332,0.449208841647542,0.2699601401135403,0.004348351250150984,0.22502717719531345
0,0.03766333589546503,0.4970535485523956,0.3096336151678196,0.003715090955675122,0.15193440942864464
0,0.05676386233269598,0.45901051625239003,0.2589627151051625,0.004302103250478011,0.22096080305927343
0,0.0486223662884927,0.47886797157461664,0.27802019698291985,0.0034908365540456303,0.1909986285999252
0,0.023752653927813165,0.5204352441613588,0.3328025477707006,0.005573248407643312,0.11743630573248408
0,0.05530840447276663,0.4528075027053024,0.25598172417939163,0.00480942647589275,0.23109294216664664
0,0.03320610687022901,0.501145038167939,0.30292620865139946,0.003816793893129771,0.1589058524173028
0,0.05891472868217054,0.4443649373881932,0.26034585569469293,0.0029815146094215863,0.23339296362552175
