,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
0,0.6079278812974461,0.3246959109730849,0.0958275695841717,0.05363558980457128,0.05468487747566298,0.13088749499357072,0.2782608441071762,0.19424425333763987,0.08960122141774186,0.049026116112558894,0.0277677886459532,0.025474823570526706,0.023774722852103806,0.020438762626262628,0.011898312319411608,0.012771904678450414,0.01212260976515362,0.012618693310657592,0.010078972737871039,0.0124244142101285
5,0.38963509316770173,0.4125540363085653,0.3401527509967211,0.08530604769030692,0.03633257704726738,0.06618400735681612,0.24421017470132136,0.2863094517118859,0.16554087765710568,0.09943781012266707,0.042443440584263366,0.03417769116011304,0.029599710254472156,0.025873660964806807,0.014435930991782057,0.015220507235491466,0.014302248677248672,0.015091175359032495,0.012772116850506686,0.015148652053413958
10,0.1183262163561077,0.3500122510256114,0.44939049808107895,0.28590913544617247,0.05571727788967218,0.038127472473422,0.08710389955120136,0.1802991282914975,0.24958731705807732,0.1874930078443761,0.09748812339793356,0.04705525774861714,0.034999842529604426,0.026371101891935214,0.01624591917145109,0.02087010540283411,0.014386951174231874,0.016181264172335594,0.01274689489731863,0.015227387251196774
15,0.06925987031285945,0.09179672523196074,0.29899652544899036,0.4918989832184277,0.1532959136575073,0.059741084164224904,0.05169632261748621,0.08976131836778643,0.16682350165537296,0.23659542071389086,0.17589519745374185,0.09888587793861232,0.06338340891912321,0.03248851360830527,0.01591503589878294,0.015820335319546675,0.018230472013366757,0.01577617157974301,0.013584824231010671,0.015778533635676485
20,0.07869867149758454,0.04357276450233877,0.06493809500521651,0.17084494081021853,0.2277974591985166,0.1950443376406191,0.08485460888496305,0.07623892580287925,0.10147088400012379,0.18524266481744714,0.257780392076278,0.2235339349597163,0.14749196900982614,0.06937148017877184,0.02423969160819044,0.02835439512292824,0.02047827903091061,0.022474371693121692,0.016234530535377985,0.019290123456790122
25,0.21425713854382325,0.09028361873130891,0.05054575136001193,0.07573238447081042,0.22185556834348377,0.2749023746284703,0.15949874305165207,0.1039215346991509,0.0944125359695535,0.11578187106794068,0.16934784478297138,0.222712264948593,0.20950664525069282,0.08960591154601573,0.03535740865823606,0.024946328426218026,0.02227356585909217,0.02427248677248679,0.018924872208770517,0.05508708112874778
30,0.35871452294685996,0.2623489739092094,0.09093769794694086,0.05160929177132881,0.07601024632746689,0.12560790787467405,0.2423465006201094,0.17951891169096842,0.10700120285281105,0.07674014188317667,0.06557912610127799,0.06366727167508417,0.06599348072562357,0.047306209415584416,0.01654260009756463,0.01668539173468195,0.01440406571985519,0.020543981481481476,0.014059837682719052,0.014762849584278157
35,0.29052183977455703,0.35684946155394526,0.21839049342350406,0.10396597144282331,0.07923320385556033,0.09495088429351377,0.20827826516591272,0.2562172196074809,0.16159650669884587,0.10707077624443917,0.08686824924957838,0.07515244990830926,0.07315743890148649,0.05484376252605422,0.020948057775776435,0.01926308772720445,0.026403972895200967,0.01646116780045351,0.01666330373957492,0.0171288422776518
40,0.16654140067862888,0.2564084246319301,0.3756992184589015,0.24012473723121877,0.1310537852267459,0.10720148506503085,0.15427660782319294,0.20082124015626945,0.24222999628701372,0.21225788632893738,0.1452373151344669,0.10812728757064693,0.09433484504913074,0.0662155408249158,0.023598251028806586,0.024130301437083765,0.026621530678548222,0.021243150037792886,0.021863229755178893,0.02097111992945326
45,0.08568912468368989,0.14483333213518898,0.2653950322304195,0.3202402664208219,0.22497749624354615,0.1236236711004307,0.10404565611142341,0.12512340712286205,0.19959688960054459,0.21643929821790522,0.18555335604386233,0.14206001608345356,0.11240677752582513,0.06745843855218854,0.022117387143982887,0.020697720027373027,0.023317553142114544,0.026521754535147383,0.03475445027351804,0.021034108087679516
50,0.052456974637681154,0.06681766280384943,0.14914996343803558,0.25732815923788155,0.3383854391454466,0.19543595898592583,0.09610161986848326,0.10972166947366802,0.1476154700021659,0.20055456020163728,0.2660273241760583,0.2401492369754089,0.1624680335097002,0.0970712832691999,0.02619860657685716,0.02149001468796422,0.022428467000835423,0.027461852796674218,0.035673650345260516,0.025317302847064748
55,0.0389875560731539,0.04358893945057893,0.05832200960391978,0.11719807755687385,0.23771584624114847,0.20821970056282813,0.07558475423146589,0.07690018130152583,0.08903112333302392,0.12439085985416837,0.19455128058767293,0.2554655088834777,0.21038863693625598,0.10285487564133393,0.02798963688443593,0.02378448750688499,0.025255267799127446,0.02534131708238851,0.01929899784772666,0.01860512723607962
60,0.027134194559466293,0.02815189833985125,0.03235020656345481,0.05602068970124526,0.11696870654102526,0.14607037019470615,0.05842593150244921,0.05582508055709362,0.05792490485472943,0.07339994801126641,0.09815387525039428,0.15689493521524775,0.19632590073066272,0.15258518969456467,0.06679131956170963,0.03403737502712266,0.01847587719298246,0.02366366685563115,0.011568469195587844,0.013014928193499626
65,0.02346014492753623,0.024748719183728233,0.024513982040390486,0.028878678762938023,0.05532951893412618,0.06283123678126996,0.04212087448807516,0.04208939914790205,0.04089100064977258,0.04430106412382531,0.05898002021419746,0.07714115673100048,0.15345710506424792,0.22053590217652722,0.2053432664765407,0.10324658254468987,0.030945709180358296,0.036073908730158734,0.01546666218276388,0.016231261022927674
70,0.010941274154589372,0.011062316683919939,0.01209863346747149,0.011333434655193915,0.015488503852363363,0.019862129963391584,0.011800202093203786,0.012879401801095125,0.011674924193199048,0.011636386519782037,0.012752601360196299,0.016817636934824434,0.05381472033257744,0.16450795780222865,0.22517652319661774,0.19425041309899346,0.06822728116587766,0.053161021352985616,0.0539021164021164,0.01524707105064247
