,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
0,0.6019934725097769,0.32292834857372893,0.0962668371339146,0.053757649243760364,0.05468163054076953,0.1308035055545016,0.27834867434888516,0.1940832352805463,0.08932023345400536,0.048870232172470995,0.027754469803520424,0.025355630336099073,0.02360260770975056,0.02056668495470579,0.011830103068282735,0.012792768263982781,0.0122380604288499,0.012677154195011338,0.00996547394852479,0.01278659611992946
5,0.3875140182884748,0.4113888409631162,0.3396361968104926,0.08527528926834481,0.036236792467910284,0.06637284635707612,0.24420543465653063,0.28640606254614215,0.16548083170890188,0.09916912626023323,0.0423778928525764,0.034351725025553136,0.02951562106324011,0.02574793069584737,0.014504922010832172,0.015234850950544963,0.014310660911538096,0.015296674225245653,0.012511490000896783,0.015589569160997734
10,0.1188686162870946,0.34948072425427495,0.4488417775169537,0.2862871439260329,0.05569742163397754,0.03815041860775594,0.0873052120417213,0.18071344938169065,0.25001198985117107,0.18797526093079564,0.09753312205843852,0.04692432133838386,0.035036690602166805,0.02640241702741702,0.01615679762842883,0.020985898302538677,0.014492829295460882,0.01617772108843538,0.012609575374405888,0.01556594860166289
15,0.06941748619737749,0.09176362649528413,0.29939183713391465,0.4901027470471914,0.1536482060934478,0.059833417652142735,0.05163093788199185,0.08989998615725357,0.16653738899718432,0.2367306366645607,0.17609926114672958,0.09875318005200816,0.06348749685059209,0.03260782427449094,0.01589021476728333,0.01585762897868576,0.018558259073609952,0.015766723356009066,0.013418079096045197,0.01523526077097505
20,0.07869399873475959,0.043457892416225746,0.06491495267903714,0.17123756301997042,0.22796180405697017,0.1948287098519502,0.08488304915370685,0.07651505975452194,0.10165053838299452,0.1856735049948669,0.2586111073057276,0.22350211095328287,0.14748818972033254,0.06976010101010101,0.024248095613343828,0.028457669871313405,0.020645073331476842,0.022515117157974298,0.016031353690252003,0.019624748047367097
25,0.21411965148378195,0.09054121975883749,0.050576171147253886,0.07584943348832236,0.2216102998769162,0.27532594489765805,0.15971218448031263,0.10402787871447024,0.0947514426498345,0.11621363667772257,0.16956713001016796,0.2229868203989298,0.20995149911816582,0.09013200582211005,0.03527805921422943,0.024965366448016293,0.022238466536712145,0.024156155517762668,0.019042574656981438,0.05531541320231798
30,0.3588277475845411,0.2623438817958745,0.09114787102243088,0.05154401711114675,0.07603572227816938,0.1257759965429288,0.24227958234071226,0.1798107869601329,0.10716306584362138,0.07701787441759451,0.06581648690034768,0.0638896874248437,0.06615063618039808,0.0476120017135642,0.016422012395712154,0.016594635137616203,0.014332706766917287,0.02022510393046107,0.013817426688189397,0.014928193499622067
35,0.2902810127674258,0.35696987505751077,0.21889234713838587,0.10412658329324999,0.07952018294729775,0.09504804854655448,0.20861689954227894,0.25620304040543845,0.1618204461771713,0.10705175346810919,0.08675513422348863,0.0753350562920875,0.07315145502645505,0.055050442420234096,0.020772941761416943,0.019169723181947162,0.026381927039821774,0.016503094293272864,0.016273764684781627,0.016979245401864452
40,0.16601912957211867,0.25631541867954893,0.3763384706386468,0.239712908405038,0.1312858161895171,0.10758629942311886,0.15450998532259072,0.20109953703703728,0.24261077075404558,0.21252122324883507,0.14558950338222484,0.10837318967201777,0.09429106827916356,0.06629445496632995,0.023621508624463706,0.024039805634837166,0.026749744732200865,0.021112055933484503,0.021888451708366955,0.020860890652557324
45,0.08541666666666668,0.14444198824860052,0.2660776580780982,0.32042328599041564,0.22550075228983846,0.12408467979932121,0.10442221084611468,0.12510117701796478,0.19984451870416778,0.2167492152333571,0.1859357970908604,0.14240702692851126,0.11264251070798688,0.06744340728715728,0.022162143357474323,0.02067242292991505,0.023144667223614593,0.026232402683295537,0.03450643440050218,0.021144337364575456
