,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
0-4,,,,,,,0.9756728778467915,1.0429606625258805,1.1775362318840588,1.2784679089026922,1.278467908902692,1.345755693581781,1.5812629399585925,1.682194616977226,1.6485507246376816,1.9513457556935823,2.0186335403726705,2.2541407867494816,2.4896480331262936,2.38871635610766,2.38871635610766,3.2634575569358177,3.5326086956521734,4.40734989648033,4.945652173913042,5.786749482401656,7.267080745341617,9.083850931677018,11.0351966873706,13.92857142857143,16.451863354037272,19.917184265010356,24.122670807453417,28.76552795031056,33.643892339544514,41.01190476190474,47.370600414078666,56.31987577639751,65.53830227743272,74.453933747412,84.27795031055896,94.43840579710142,102.98395445134572,113.37991718426495,120.91614906832298,125.18892339544516,129.42805383022775,131.11024844720495,131.7158385093168,129.09161490683232,123.8095238095238,117.48447204968943,113.85093167701866,106.98757763975158,99.35041407867492,91.04037267080741,82.49482401656313,74.58850931677016,66.31211180124222,57.026397515527925,49.019151138716325,42.35766045548653,36.09989648033125,30.683229813664596,25.266563146997928,21.0947204968944,17.494824016563154,14.66873706004141,12.078157349896477,9.25207039337474,7.468944099378881,6.32505175983437,5.248447204968946,4.104554865424432,3.43167701863354,2.489648033126293,2.1532091097308483,1.8840579710144931,1.345755693581781,1.0766045548654244,0.8074534161490683,0.5383022774327122,0.4373706004140787,0.37008281573498963,0.201863354037267,0.13457556935817808,0.06728778467908904,0.06728778467908904,0.03364389233954452,0.06728778467908904,0.06728778467908904,0.06728778467908904,0.03364389233954452,0.03364389233954452,0.03364389233954452,0.03364389233954452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-14,,,,,,,0.3178146258503402,0.37308673469387754,0.4559948979591835,0.5941751700680269,0.759991496598639,0.759991496598639,0.884353741496598,0.9396258503401352,1.008715986394557,1.1192602040816315,1.1745323129251692,1.2988945578231281,1.5752551020408159,1.7825255102040816,2.210884353741497,2.8050595238095233,3.42687074829932,4.297406462585035,5.402848639455786,6.549744897959184,7.710459183673475,9.617346938775514,11.399872448979593,14.21875,17.231079931972797,20.28486394557824,24.6513605442177,29.90221088435375,35.180697278911566,41.88244047619047,47.93473639455781,56.05973639455783,64.64073129251699,72.765731292517,81.77508503401363,91.43388605442176,100.34651360544213,109.56313775510209,117.28741496598643,123.65752551020405,127.25021258503396,130.05527210884355,130.70471938775503,130.09672619047618,127.13966836734694,120.86628401360541,114.33035714285717,108.02933673469386,100.11160714285712,90.95025510204079,81.8856292517007,72.83482142857139,65.06909013605444,57.62117346938774,50.67070578231293,43.47151360544217,37.23958333333332,31.546556122448976,26.392431972789108,21.818664965986404,17.65943877551021,14.343112244897965,11.538052721088436,9.49298469387755,7.074829931972791,5.70684523809524,4.629039115646257,3.565051020408165,2.735969387755103,2.1279761904761907,1.6996173469387752,1.4232568027210875,1.105442176870748,0.8981717687074826,0.746173469387755,0.5665391156462584,0.4974489795918367,0.3454506802721089,0.26254251700680276,0.19345238095238096,0.1519982993197279,0.09672619047619048,0.08290816326530613,0.06909013605442178,0.05527210884353742,0.05527210884353742,0.041454081632653066,0.02763605442176871,0.013818027210884355,0.0,0.013818027210884355,0.013818027210884355,0.02763605442176871,0.02763605442176871,0.02763605442176871,0.02763605442176871,0.02763605442176871,0.013818027210884355,0.013818027210884355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-34,,,,,,,0.05353025145492477,0.1011126971926357,0.13085172577870507,0.1605907543647744,0.21412100581969917,0.3092858972951211,0.42229420592218453,0.49961568024596453,0.5769371545697447,0.7375279089345189,0.9100142747337214,1.177665532008345,1.3739431206764021,1.564272903627246,1.9092456352256504,2.379122286885545,2.884685772848723,3.610318070348814,4.23483767065627,5.031843636762928,6.096500860144213,7.190897112111565,8.606474872808466,10.24212144504228,12.424966143259766,15.024157241682227,18.15865085465393,21.38236155338385,25.480399692544196,29.935306174737388,35.16342740016838,40.96848578016909,46.7140661029977,53.678946597855145,60.76873101277406,68.44140038797993,76.53041616339083,84.17929431572786,91.191757256323,98.72762710003296,104.26503422275904,109.17792174517763,112.78823981552654,114.57852933640787,115.58370850261711,114.34656491343655,111.90796456937893,108.49392408769808,104.02712199407046,97.64512645950002,90.91815819333112,83.2752278467113,76.38766882617766,68.53656527945536,60.441601698327304,53.17933091760917,46.64864024010833,40.34396617986163,34.53295999414372,29.09071776289301,24.66555030928589,21.108762490391992,17.534131254346473,14.584019618608393,12.091889023095796,9.855514073423373,7.97600746678379,6.2689872259434125,5.008052413894074,3.9374473847955773,3.08096336151678,2.444548149774898,2.0519929724387826,1.7010724351231656,1.3679953149591892,1.0289703890779986,0.8326928004099408,0.6661542403279525,0.5055634859631783,0.39850298305332904,0.2914424801434794,0.21412100581969917,0.15464294864756048,0.11895611434427728,0.07732147432378021,0.06542586288935251,0.04163464002049705,0.017843417151641595,0.017843417151641595,0.017843417151641595,0.02379122286885546,0.02379122286885546,0.01189561143442773,0.01189561143442773,0.01189561143442773,0.01189561143442773,0.005947805717213865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35-59,,,,,,,0.12633624878522845,0.15792031098153556,0.19740038872691934,0.2329324586977648,0.27241253644314856,0.32768464528668584,0.4145408163265305,0.5606171039844511,0.6790573372206025,0.8409256559766763,1.0264820213799801,1.2396744412050522,1.4568148688046643,1.6700072886297368,1.9661078717201164,2.345116618075801,2.732021379980564,3.3044825072886304,4.0348639455782305,4.84815354713314,5.775935374149658,6.889273566569485,8.290816326530612,9.858175413022355,11.717687074829938,13.904883381924195,16.704020894071913,19.909803206997086,23.301141885325553,27.88872691933916,32.705296404276005,38.37068756073858,44.41508746355685,51.189868804664734,58.244958697764844,65.84092565597669,73.45663265306125,81.7908770651117,89.16180758017492,96.14978134110784,102.22576530612247,107.4094995140914,111.57464771622938,113.94740038872686,114.36194120505341,114.08558066083572,111.82732021379984,108.06092079689022,103.38253158406216,98.09614917395531,91.6806365403304,84.65713070942665,76.59135082604469,69.37834062196309,62.04294217687076,55.25236880466472,47.865646258503396,41.288265306122454,35.48864188532556,30.668124392614192,25.962099125364432,21.911443148688047,18.184523809523807,15.16429786200195,12.590196793002917,10.37141642371234,8.330296404275996,6.774781341107867,5.5548469387755075,4.390184645286685,3.580843051506315,2.7991375121477162,2.2858965014577253,1.8713556851311948,1.460762876579203,1.1409742468415935,0.8488216715257534,0.6593172983479106,0.5448250728862973,0.3987487852283769,0.33558066083576277,0.2724125364431486,0.20924441205053454,0.16976433430515067,0.1381802721088436,0.09080417881438292,0.07106413994169099,0.05132410106899902,0.03553206997084548,0.019740038872691934,0.015792031098153546,0.01184402332361516,0.01184402332361516,0.007896015549076773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60-79,,,,,,,0.12084030488938469,0.1381032055878682,0.13810320558786823,0.17262900698483527,0.20715480838180236,0.258943510477253,0.29346931187422004,0.33662656362042886,0.4143096167636045,0.5178870209545056,0.63872732584389,0.7077789286378242,0.9149337370196263,1.0185111412105272,1.1307199957506702,1.2947175523862637,1.4587151090218573,1.683132818102142,2.002496481024086,2.3477544949937577,2.9001673173452294,3.5561575438876027,4.263936472525426,4.954452500464767,6.05927814516771,6.931054630441127,8.355243938066016,9.684487291849242,11.246779805062003,13.499588346214098,16.028603298541928,18.937402066236398,22.277773351392952,25.928876849122215,30.080604467107495,34.974636815127575,39.78235465965522,44.866278915358606,49.1043210368363,54.07603643799957,59.30669534964007,63.70873502775337,67.92088279818334,70.91599606937022,73.63490292938137,76.0603404775183,76.66454200196522,76.31928398799556,74.76562292513205,72.03808461477166,69.15518019812491,64.89124372559947,60.71362175656645,56.57915703927966,51.56428438637021,47.17087615860618,42.65662762595273,38.03017023875915,34.13738613125113,29.75260935383632,26.12740020715478,22.39861365628234,19.524340689984843,16.641436273338098,14.27641887764586,12.178976442780112,10.418160571534795,8.56239874644782,7.353995697553973,5.972963641675293,4.954452500464767,4.0567816641436245,3.2195309802671748,2.744801211058879,2.235545640453615,1.7521844208960762,1.4587151090218569,1.165245797147637,0.9408280880673515,0.7681990810825164,0.5437813720022309,0.4660983188590551,0.327995113271187,0.25031206012801116,0.181260457334077,0.17262900698483521,0.11220885454014289,0.07768305314317585,0.06042015244469232,0.06042015244469232,0.051788702095450556,0.0431572517462088,0.017262900698483522,0.017262900698483522,0.008631450349241761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80+,,,,,,,0.0,0.0,0.0,0.0,0.0,0.030645921735030644,0.030645921735030644,0.18387553041018387,0.21452145214521448,0.33710513908533707,0.3983969825553983,0.4596888260254595,0.6435643564356434,0.7661480433757659,0.7661480433757659,0.9806694955209804,1.011315417256011,1.2258368694012254,1.6548797736916543,1.9919849127769913,2.2984441301272978,2.9113625648279107,3.3097595473833086,4.167845355964166,4.9033474776049015,5.914662894860913,6.711456859971709,8.335690711928333,10.11315417256011,12.901933050447902,15.445544554455454,18.448844884488466,21.666666666666686,25.987741631306008,29.941065535124952,35.089580386610116,40.42197076850544,44.89627534181992,49.95285242809999,55.59170202734563,60.924092409240934,66.47100424328148,71.77274870344178,75.26638378123533,80.38425271098538,85.10372465818013,88.99575671852904,91.75388967468176,93.65393682225367,93.28618576143334,93.16360207449314,90.89580386610096,87.98444130127301,83.20367751060822,77.6874115983027,72.23243752946725,67.05327675624706,61.353135313531396,55.7755775577558,50.38189533239043,44.65110796793967,40.17680339462521,35.426685525695454,30.33946251768036,26.60066006600661,22.70862800565772,18.632720414898653,15.813295615275829,12.779349363507782,10.388967468175386,8.734087694483732,6.5582272512965565,5.546911834040546,4.658180103724657,3.9839698255539826,3.462989156058462,2.7887788778877884,2.206506364922206,1.8081093823668077,1.5016501650165015,0.9806694955209804,0.7661480433757659,0.5822725129655822,0.4290429042904291,0.3064592173503065,0.18387553041018392,0.09193776520509199,0.09193776520509199,0.06129184347006129,0.030645921735030644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
