run,susceptible_time,infection_time,diagnosis_time,hospitalization_time,recover_time,immunity_loss_time,death_time,icu_time,rehospitalization_time,vaccination_time,R_0,R_0_err,Last_infection_time,n_agents,infection_time_vaccinated_0,icu_time_vaccinated_0,death_time_vaccinated_0,hospitalization_time_vaccinated_0,diagnosis_time_vaccinated_0
0.0,10400.0,6481.0,1890.0,190.0,4873.0,0.0,26.0,76.0,0.0,0.0,1.8173076923076923,0.15625161572095056,3023.0,10400,6481,76,26,190,1890
64.0,10400.0,6828.0,1912.0,157.0,4708.0,0.0,15.0,43.0,0.0,0.0,1.6442307692307692,0.1317134943400121,3023.0,10400,6828,43,15,157,1912
14.0,10400.0,6558.0,1730.0,145.0,4583.0,0.0,14.0,55.0,0.0,0.0,1.7211538461538463,0.14164346021784846,3023.0,10400,6558,55,14,145,1730
92.0,10400.0,6600.0,1857.0,197.0,5177.0,0.0,16.0,74.0,0.0,0.0,1.7403846153846154,0.13247457539808521,3022.0,10400,6600,74,16,197,1857
6.0,10400.0,6659.0,1776.0,166.0,4503.0,0.0,14.0,66.0,0.0,0.0,1.8173076923076923,0.1357938124475931,3023.0,10400,6659,66,14,166,1776
11.0,10400.0,7167.0,1979.0,178.0,5400.0,0.0,16.0,61.0,0.0,0.0,1.4326923076923077,0.1294588777279376,3023.0,10400,7167,61,16,178,1979
78.0,10400.0,12.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.18802535827258873,622.0,10400,12,0,0,0,5
18.0,10400.0,4946.0,1269.0,97.0,3387.0,0.0,11.0,33.0,0.0,0.0,2.0288461538461537,0.15725944250549134,3022.0,10400,4946,33,11,97,1269
94.0,10400.0,6592.0,1702.0,151.0,4170.0,0.0,11.0,57.0,0.0,0.0,1.5769230769230769,0.12795594404690908,3022.0,10400,6592,57,11,151,1702
2.0,10400.0,6841.0,1876.0,157.0,5134.0,0.0,18.0,68.0,0.0,0.0,1.7884615384615385,0.14374763492750456,3023.0,10400,6841,68,18,157,1876
3.0,10400.0,6858.0,1907.0,167.0,4894.0,0.0,11.0,65.0,0.0,0.0,1.5384615384615385,0.12591937992048244,3023.0,10400,6858,65,11,167,1907
38.0,10400.0,7078.0,1903.0,167.0,4458.0,0.0,15.0,54.0,0.0,0.0,1.3076923076923077,0.11996150356256327,3023.0,10400,7078,54,15,167,1903
81.0,10400.0,6674.0,1775.0,138.0,3947.0,0.0,9.0,46.0,0.0,0.0,1.5480769230769231,0.12588729718695726,3022.0,10400,6674,46,9,138,1775
12.0,10400.0,6437.0,1731.0,160.0,4798.0,0.0,16.0,56.0,0.0,0.0,1.7403846153846154,0.15337575115792731,3021.0,10400,6437,56,16,160,1731
22.0,10400.0,7268.0,2041.0,205.0,5637.0,0.0,24.0,75.0,0.0,0.0,1.5480769230769231,0.14581529418148997,3021.0,10400,7268,75,24,205,2041
74.0,10400.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1889822365046136,424.0,10400,8,0,0,0,0
70.0,10400.0,9.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.2939723678960657,172.0,10400,9,0,0,0,3
48.0,10400.0,6409.0,1656.0,148.0,4298.0,0.0,12.0,59.0,0.0,0.0,1.7692307692307692,0.1498261185545247,3023.0,10400,6409,59,12,148,1656
29.0,10400.0,6975.0,1923.0,195.0,4912.0,0.0,23.0,80.0,0.0,0.0,1.3365384615384615,0.12789630155436071,3023.0,10400,6975,80,23,195,1923
27.0,10400.0,6773.0,1956.0,164.0,4762.0,0.0,15.0,63.0,0.0,0.0,1.3557692307692308,0.14325660559576386,3023.0,10400,6773,63,15,164,1956
71.0,10400.0,6999.0,1901.0,178.0,4582.0,0.0,13.0,59.0,0.0,0.0,1.4038461538461537,0.1396940209401015,3022.0,10400,6999,59,13,178,1901
93.0,10400.0,6892.0,1853.0,170.0,4617.0,0.0,17.0,57.0,0.0,0.0,1.4519230769230769,0.13097540637363975,3023.0,10400,6892,57,17,170,1853
54.0,10400.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2020305089104421,153.0,10400,7,0,0,0,0
20.0,10400.0,6193.0,1605.0,139.0,4424.0,0.0,19.0,47.0,0.0,0.0,1.7307692307692308,0.1571252486704407,3023.0,10400,6193,47,19,139,1605
16.0,10400.0,6301.0,1581.0,110.0,3734.0,0.0,9.0,42.0,0.0,0.0,1.9807692307692308,0.16509257435998384,3023.0,10400,6301,42,9,110,1581
36.0,10400.0,7082.0,2009.0,211.0,5486.0,0.0,30.0,81.0,0.0,0.0,1.4423076923076923,0.12805411818403786,3023.0,10400,7082,81,30,211,2009
82.0,10400.0,7017.0,1921.0,187.0,4707.0,0.0,17.0,75.0,0.0,0.0,1.2115384615384615,0.12647418753484202,3023.0,10400,7017,75,17,187,1921
43.0,10400.0,48.0,13.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.15423493792150378,1422.0,10400,48,0,0,0,13
87.0,10400.0,6097.0,1625.0,127.0,4213.0,0.0,15.0,40.0,0.0,0.0,1.7980769230769231,0.14225053350202546,3023.0,10400,6097,40,15,127,1625
30.0,10400.0,11.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.30962520665320736,299.0,10400,11,0,0,0,2
79.0,10400.0,7240.0,1978.0,175.0,5584.0,0.0,15.0,61.0,0.0,0.0,1.2115384615384615,0.1329514143929028,3022.0,10400,7240,61,15,175,1978
53.0,10400.0,7120.0,1988.0,189.0,5337.0,0.0,22.0,71.0,0.0,0.0,1.3461538461538463,0.13648283270737568,3022.0,10400,7120,71,22,189,1988
47.0,10400.0,5886.0,1552.0,137.0,3985.0,0.0,12.0,35.0,0.0,0.0,1.9519230769230769,0.1461350514624315,3022.0,10400,5886,35,12,137,1552
57.0,10400.0,6208.0,1587.0,125.0,3729.0,0.0,13.0,46.0,0.0,0.0,1.875,0.14760187808338215,3023.0,10400,6208,46,13,125,1587
75.0,10400.0,6578.0,1775.0,154.0,5072.0,0.0,19.0,54.0,0.0,0.0,1.6826923076923077,0.13682112134144814,3022.0,10400,6578,54,19,154,1775
35.0,10400.0,5459.0,1421.0,114.0,3789.0,0.0,5.0,32.0,0.0,0.0,1.8076923076923077,0.14594143599498005,3023.0,10400,5459,32,5,114,1421
73.0,10400.0,6804.0,1827.0,166.0,4907.0,0.0,27.0,56.0,0.0,0.0,1.8846153846153846,0.1232098796416777,3023.0,10400,6804,56,27,166,1827
39.0,10400.0,6.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.33333333333333337,108.0,10400,6,0,0,0,5
32.0,10400.0,6357.0,1709.0,163.0,4733.0,0.0,12.0,66.0,0.0,0.0,1.7980769230769231,0.14991895227169968,3023.0,10400,6357,66,12,163,1709
56.0,10400.0,5884.0,1507.0,101.0,3495.0,0.0,7.0,36.0,0.0,0.0,1.8173076923076923,0.1476505213400957,3023.0,10400,5884,36,7,101,1507
55.0,10400.0,6454.0,1762.0,157.0,4695.0,0.0,15.0,59.0,0.0,0.0,1.9230769230769231,0.15135207638301337,3020.0,10400,6454,59,15,157,1762
23.0,10400.0,6516.0,1759.0,172.0,4951.0,0.0,9.0,50.0,0.0,0.0,1.6442307692307692,0.14519839716394456,3019.0,10400,6516,50,9,172,1759
67.0,10400.0,6653.0,1702.0,147.0,3630.0,0.0,12.0,52.0,0.0,0.0,1.2980769230769231,0.11980801147648015,3023.0,10400,6653,52,12,147,1702
86.0,10400.0,7135.0,2001.0,167.0,5097.0,0.0,16.0,69.0,0.0,0.0,1.4423076923076923,0.1295039388538579,3022.0,10400,7135,69,16,167,2001
25.0,10400.0,6775.0,1886.0,151.0,5054.0,0.0,18.0,49.0,0.0,0.0,1.7019230769230769,0.12439533189901088,3023.0,10400,6775,49,18,151,1886
45.0,10400.0,6636.0,1785.0,176.0,4795.0,0.0,24.0,57.0,0.0,0.0,1.7115384615384615,0.14178597622858466,3023.0,10400,6636,57,24,176,1785
26.0,10400.0,6999.0,2013.0,183.0,5224.0,0.0,17.0,73.0,0.0,0.0,1.5961538461538463,0.1536943799522543,3023.0,10400,6999,73,17,183,2013
72.0,10400.0,6489.0,1600.0,135.0,3371.0,0.0,13.0,46.0,0.0,0.0,1.0673076923076923,0.11932754630790272,3023.0,10400,6489,46,13,135,1600
28.0,10400.0,6853.0,1923.0,195.0,5100.0,0.0,20.0,69.0,0.0,0.0,1.5,0.13387988552828417,3021.0,10400,6853,69,20,195,1923
33.0,10400.0,6.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.210818510677892,166.0,10400,6,0,0,0,2
7.0,10400.0,5688.0,1595.0,135.0,4293.0,0.0,16.0,44.0,0.0,0.0,1.8461538461538463,0.1532381563314709,3023.0,10400,5688,44,16,135,1595
10.0,10400.0,6094.0,1653.0,130.0,4262.0,0.0,17.0,47.0,0.0,0.0,1.9711538461538463,0.1313859671414477,3023.0,10400,6094,47,17,130,1653
69.0,10400.0,5507.0,1425.0,133.0,3874.0,0.0,15.0,50.0,0.0,0.0,1.9423076923076923,0.16272678956687314,3023.0,10400,5507,50,15,133,1425
59.0,10400.0,6003.0,1636.0,141.0,4477.0,0.0,16.0,42.0,0.0,0.0,1.9615384615384615,0.15333185133033933,3023.0,10400,6003,42,16,141,1636
5.0,10400.0,5.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,147.0,10400,5,0,0,0,2
63.0,10400.0,4970.0,1116.0,84.0,2221.0,0.0,4.0,30.0,0.0,0.0,1.5576923076923077,0.13583677210217693,3023.0,10400,4970,30,4,84,1116
