,school,home,work,hospital,public
0,0.053842813721233174,0.4325879287885367,0.2802865827181937,0.0031480677377333914,0.23013460703430308
0,0.05673296380828171,0.4215846103684382,0.26823171394413653,0.002499728290403217,0.25095098358874035
0,0.05430855140698565,0.44957845176831274,0.2749370414978649,0.004051242746085624,0.2171247125807511
0,0.04495250717914734,0.4588027391208306,0.2943450408659156,0.0035343494588027393,0.19836536337530372
0,0.048910036516543104,0.4547969458891225,0.2951200619674671,0.003762310501272546,0.19741064512559478
0,0.06002375040483646,0.4120695239123394,0.26319766814207063,0.00388642988232754,0.260822627658426
0,0.055476993364516475,0.42880452518220386,0.2811922114652453,0.0029370172957685196,0.23158925269226585
0,0.07015673312719906,0.38607527454952556,0.23115470732487473,0.0030920140739950953,0.30952127092440557
0,0.05520675470881143,0.4219528036371509,0.2772245074691492,0.003247456159341849,0.24236847802554665
0,0.059682127797599745,0.41615309763217645,0.26056871013082494,0.0033517136987782463,0.26024435074062063
0,0.047849521504784956,0.43977560224397755,0.29039709602903974,0.004179958200417996,0.21779782202177977
0,0.05881059690007694,0.43519841706056944,0.2875673298889744,0.0016488952401890733,0.21677476091019018
0,0.06509829197550757,0.4128262971318079,0.25051025888924694,0.002470727253195832,0.2690944247502417
0,0.046628088137102154,0.4561540173603383,0.2926774983307367,0.004673937235699978,0.19986645893612287
0,0.05481835979986949,0.4381118120513378,0.277898629541005,0.004024363715466608,0.22514683489232107
0,0.06450912250217203,0.39856646394439615,0.24185490877497828,0.002172024326672459,0.29289748045178104
0,0.06944890315676833,0.38202247191011235,0.23295880149812734,0.003959336543606207,0.31161048689138576
0,0.05676567656765677,0.4383938393839384,0.2811881188118812,0.0022002200220022,0.22145214521452145
0,0.06391907887657376,0.4025610674701388,0.24911223501560315,0.0026901969224147207,0.28171742171526953
0,0.04806408544726302,0.4635068980863373,0.2940587449933244,0.003671562082777036,0.19069870939029818
0,0.05984555984555984,0.41312741312741313,0.25836550836550837,0.004075504075504076,0.2645860145860146
0,0.04994487320837927,0.44851157662624036,0.29018743109151046,0.0036383682469680267,0.2077177508269019
0,0.0618645900930132,0.4109885355829548,0.2597880164395414,0.0035691109669046075,0.263789746917586
0,0.0626811205323602,0.3983041751636793,0.24235268863368037,0.0028979285177632287,0.2937640871525169
0,0.06165201345924237,0.4247259307500271,0.2628893954195159,0.0032562683165092803,0.2474763920547053
0,0.05626819014767705,0.4216880457044303,0.2601056375983615,0.0024792497574646975,0.2594588767920664
0,0.04871251811392263,0.46003789989967675,0.2927209898562033,0.003121168208672389,0.1954074239215249
0,0.06221840806693843,0.40999785453765286,0.24940999785453766,0.0039691053422012445,0.27440463419866984
0,0.05696134381393346,0.4248950145364488,0.2769462689781415,0.00226122536879509,0.23893614730268117
0,0.051065231715352516,0.4415769822095322,0.29354271908631674,0.0025258071601142102,0.21128925982868438
0,0.049868189806678384,0.45661247803163446,0.296682776801406,0.00406414762741652,0.19277240773286466
0,0.06363149437600428,0.39850026780931974,0.24156400642742368,0.0017139796464916979,0.2945902517407606
0,0.07142857142857142,0.38252302420218465,0.2236024844720497,0.005140286999357464,0.3173056328978368
0,0.05449950554884079,0.4341281177892539,0.28447423360070323,0.0038457312383254586,0.2230524118228766
0,0.048640282998010174,0.45091753261109885,0.2925049745743975,0.0029847446385142602,0.20495246517797922
0,0.05961394902420816,0.40833955422843127,0.25167964167644236,0.003945824890689986,0.27642103018022823
0,0.050611974859411185,0.44712757746168263,0.29352740103649794,0.0039695666556400925,0.2047634799867681
0,0.06125524814296479,0.4071482398535903,0.254171600818172,0.003229626439875121,0.2741952847453978
0,0.046141872359350675,0.4570824994440738,0.2991994663108739,0.00378029797642873,0.19379586390927284
0,0.0556640625,0.4319661458333333,0.2733289930555556,0.002712673611111111,0.236328125
0,0.060164182328796716,0.4127241304817455,0.2581551090948369,0.003348455389933031,0.2656081227046878
0,0.05657723929035051,0.4118347035915188,0.2768282128948507,0.0036780614452617912,0.2510817827780182
0,0.06504500642948993,0.39766395199314186,0.2471067295327904,0.0030004286326618087,0.287183883411916
0,0.0699601765149069,0.3984501130125928,0.24367667635346033,0.003013669142180605,0.2848993649768593
0,0.05289093298291722,0.44240035041611914,0.2918309242225142,0.0037231712658782304,0.2091546211125712
0,0.04977924944812362,0.44966887417218543,0.29492273730684326,0.002207505518763797,0.20342163355408388
0,0.05662624512776093,0.42031182330012995,0.2832394976180165,0.0030316154179298397,0.23679081853616285
0,0.05442028193640039,0.43481586711834774,0.27756529341055625,0.002513386515134958,0.2306851710195607
0,0.056956521739130433,0.42641304347826087,0.27260869565217394,0.0031521739130434784,0.2408695652173913
0,0.06058945984441766,0.4257696943135751,0.2803769036923414,0.0029582557247726524,0.23030568642489319
0,0.05784313725490196,0.43747276688453157,0.27374727668845317,0.003594771241830065,0.22734204793028323
0,0.056871013082495404,0.41409882149421556,0.2620823872851119,0.0030273543085739,0.2639204238296032
0,0.05513947682622382,0.4302615868880929,0.28025615977423207,0.0026050146532074245,0.2317377618582438
0,0.052287581699346414,0.4328976034858388,0.27342047930283225,0.0032679738562091504,0.23812636165577342
0,0.058059669456965016,0.41661300708306503,0.27473706804035203,0.0020390641768619874,0.24855119124275596
0,0.06602461209202783,0.399250936329588,0.24826110219368647,0.002354200107009096,0.2841091492776886
0,0.05812818566316018,0.4347684632903156,0.27914542891226546,0.004229476195640386,0.22372844593861838
0,0.049911071587372166,0.4635393508225878,0.3010226767452201,0.004446420631391729,0.18108048021342818
0,0.05362018128207928,0.4283062138254887,0.2844818171890357,0.0029485639401550727,0.23064322376324123
0,0.05715532286212914,0.43106457242582896,0.2705061082024433,0.004253926701570681,0.23702006980802792
0,0.05225443721750635,0.45198985778855694,0.2915885789879837,0.0031970014331385733,0.20097012457281446
0,0.04639750167298684,0.4650903412893152,0.30214142315413783,0.0030113763105063572,0.18335935757305377
0,0.05584905660377358,0.4238274932614555,0.26619946091644203,0.004851752021563342,0.2492722371967655
0,0.05025347145690985,0.44776283888031737,0.29160238042759534,0.0018734846815076042,0.2085078245536698
0,0.058823529411764705,0.42366037324020517,0.27960275019098546,0.0032740368874822658,0.23463931026956236
0,0.051090889156890695,0.44457844534590507,0.2841793662975551,0.0030698388334612432,0.21708146036618792
0,0.06663777223967927,0.4069780041174558,0.23296131758587063,0.0037923935420955683,0.2896305125148987
0,0.06401122625215888,0.41342832469775476,0.26208981001727116,0.0024827288428324696,0.25798791018998274
0,0.05560391730141459,0.4235038084874864,0.26964091403699675,0.002720348204570185,0.2485310119695321
0,0.04029262802476083,0.4831738885762521,0.31457512661789533,0.004501969611705121,0.15745638716938662
0,0.06439191357364424,0.4010054551288908,0.23478446892715799,0.0032088993475237995,0.2966092630227832
0,0.0616938950988822,0.40423473774720553,0.2395743766122098,0.0027944969905417025,0.2917024935511608
0,0.07191011235955055,0.3911182450508293,0.2323167469234885,0.002354200107009096,0.30230069555912253
0,0.05869025784874312,0.41547092458733414,0.2509440069047362,0.004315460135936994,0.27057935052324955
0,0.04207557811618726,0.4698251551043429,0.30535815002820077,0.003722504230118443,0.1790186125211506
0,0.06258134490238612,0.41073752711496747,0.2714750542299349,0.0026030368763557484,0.25260303687635577
0,0.0498232434821034,0.45371188687582853,0.29573574900574456,0.0024304021210782146,0.19829871851524525
0,0.060771704180064307,0.415005359056806,0.2565916398713826,0.0028938906752411574,0.2647374062165059
0,0.06654423679377769,0.39937344712109757,0.2353894350221454,0.005293291563141406,0.29339958949983796
0,0.07098765432098766,0.387718177948063,0.23116219667943805,0.002979991485738612,0.30715197956577267
0,0.06393088552915767,0.4084233261339093,0.24416846652267818,0.00367170626349892,0.27980561555075595
0,0.06129691364662867,0.4100440907624476,0.2583073448757931,0.0037638455747929884,0.2665878051403377
0,0.04779129672256933,0.43987723336621726,0.29321495122218566,0.0031787789104461253,0.2159377397785816
0,0.04683657500558909,0.4708249496981891,0.30840599150458303,0.004247708473060586,0.16968477531857815
0,0.05935232318856277,0.4261886710711578,0.26589407559839706,0.003899057727715802,0.24466587241416657
0,0.05324549087374446,0.4272599632789718,0.27832379306620586,0.004536127011556324,0.23663462576952154
0,0.07129877071084982,0.3861036878674506,0.22255478353821487,0.0023516835916622125,0.31769107429182253
0,0.040909597592241664,0.46639170661018836,0.302530375654888,0.004012930554007357,0.1861553895886746
0,0.05933873439894898,0.4314648565798117,0.2699802934092402,0.00405079921173637,0.23516531640026275
0,0.06988388196441887,0.3848940023436668,0.22200916160647705,0.003515500159795462,0.31969745392564186
0,0.053881179531656546,0.4269297484822203,0.2721162185602775,0.0029271465741543797,0.24414570685169124
