run,susceptible_time,infection_time,diagnosis_time,hospitalization_time,recover_time,immunity_loss_time,death_time,icu_time,rehospitalization_time,vaccination_time,R_0,R_0_err,Last_infection_time,n_agents,infection_time_vaccinated_0,icu_time_vaccinated_0,death_time_vaccinated_0,hospitalization_time_vaccinated_0,diagnosis_time_vaccinated_0
91.0,10400.0,9283.0,2728.0,331.0,9210.0,0.0,73.0,134.0,0.0,0.0,2.0288461538461537,0.2051688000502174,1739.0,10400,9283,134,73,331,2728
6.0,10400.0,9322.0,2723.0,330.0,9246.0,0.0,76.0,127.0,0.0,0.0,1.75,0.18421157916896896,1810.0,10400,9322,127,76,330,2723
19.0,10400.0,9123.0,2634.0,337.0,9042.0,0.0,81.0,130.0,0.0,0.0,2.1923076923076925,0.19945637613649178,1791.0,10400,9123,130,81,337,2634
74.0,10400.0,9161.0,2681.0,281.0,9081.0,0.0,80.0,95.0,0.0,0.0,2.25,0.21723274894531688,1814.0,10400,9161,95,80,281,2681
10.0,10400.0,9188.0,2712.0,306.0,9109.0,0.0,79.0,128.0,0.0,0.0,1.9134615384615385,0.18439421887432184,1680.0,10400,9188,128,79,306,2712
54.0,10400.0,9261.0,2664.0,323.0,9180.0,0.0,81.0,122.0,0.0,0.0,2.0096153846153846,0.19444065442518915,1626.0,10400,9261,122,81,323,2664
75.0,10400.0,9240.0,2761.0,315.0,9161.0,0.0,79.0,130.0,0.0,0.0,1.9807692307692308,0.1994113673632375,1820.0,10400,9240,130,79,315,2761
11.0,10400.0,9202.0,2768.0,316.0,9136.0,0.0,66.0,124.0,0.0,0.0,1.8365384615384615,0.17235712493074024,1935.0,10400,9202,124,66,316,2768
63.0,10400.0,9185.0,2673.0,297.0,9118.0,0.0,67.0,112.0,0.0,0.0,1.7307692307692308,0.18496046911823993,1799.0,10400,9185,112,67,297,2673
0.0,10400.0,9380.0,2796.0,329.0,9294.0,0.0,86.0,116.0,0.0,0.0,1.8173076923076923,0.17053512790642375,1920.0,10400,9380,116,86,329,2796
9.0,10400.0,9294.0,2759.0,328.0,9217.0,0.0,77.0,136.0,0.0,0.0,1.9615384615384615,0.1842992688157264,1694.0,10400,9294,136,77,328,2759
51.0,10400.0,9254.0,2729.0,314.0,9180.0,0.0,74.0,113.0,0.0,0.0,1.6730769230769231,0.1815018602107232,1666.0,10400,9254,113,74,314,2729
16.0,10400.0,9256.0,2658.0,328.0,9185.0,0.0,71.0,129.0,0.0,0.0,1.875,0.18417990320292466,1646.0,10400,9256,129,71,328,2658
4.0,10400.0,9178.0,2656.0,297.0,9101.0,0.0,77.0,120.0,0.0,0.0,2.201923076923077,0.21185011667822432,1756.0,10400,9178,120,77,297,2656
25.0,10400.0,9338.0,2775.0,341.0,9265.0,0.0,73.0,131.0,0.0,0.0,1.7788461538461537,0.19078702352038976,1808.0,10400,9338,131,73,341,2775
56.0,10400.0,9307.0,2716.0,312.0,9228.0,0.0,79.0,133.0,0.0,0.0,2.0673076923076925,0.20186972516128354,1696.0,10400,9307,133,79,312,2716
39.0,10400.0,9117.0,2690.0,350.0,9028.0,0.0,89.0,144.0,0.0,0.0,2.4134615384615383,0.19401547529333937,1606.0,10400,9117,144,89,350,2690
84.0,10400.0,9246.0,2690.0,314.0,9178.0,0.0,68.0,141.0,0.0,0.0,1.8173076923076923,0.18218060487481838,1651.0,10400,9246,141,68,314,2690
89.0,10400.0,9291.0,2706.0,302.0,9209.0,0.0,82.0,127.0,0.0,0.0,1.6826923076923077,0.17244043200743758,1761.0,10400,9291,127,82,302,2706
88.0,10400.0,9183.0,2718.0,316.0,9101.0,0.0,82.0,114.0,0.0,0.0,1.9711538461538463,0.20288100952803725,1653.0,10400,9183,114,82,316,2718
61.0,10400.0,9292.0,2664.0,320.0,9205.0,0.0,87.0,118.0,0.0,0.0,2.0865384615384617,0.20637278607905724,1656.0,10400,9292,118,87,320,2664
64.0,10400.0,9154.0,2694.0,301.0,9097.0,0.0,57.0,116.0,0.0,0.0,2.2115384615384617,0.1851835760979819,1858.0,10400,9154,116,57,301,2694
50.0,10400.0,9376.0,2847.0,330.0,9298.0,0.0,78.0,116.0,0.0,0.0,2.0961538461538463,0.18611191733655416,2156.0,10400,9376,116,78,330,2847
14.0,10400.0,9354.0,2739.0,324.0,9270.0,0.0,84.0,118.0,0.0,0.0,2.4423076923076925,0.2155402590307785,1699.0,10400,9354,118,84,324,2739
1.0,10400.0,9228.0,2759.0,336.0,9157.0,0.0,71.0,137.0,0.0,0.0,1.9038461538461537,0.17685284510501498,1828.0,10400,9228,137,71,336,2759
35.0,10400.0,9343.0,2789.0,341.0,9258.0,0.0,85.0,141.0,0.0,0.0,1.7115384615384615,0.18162051474085822,1846.0,10400,9343,141,85,341,2789
47.0,10400.0,9386.0,2724.0,304.0,9319.0,0.0,67.0,102.0,0.0,0.0,1.7115384615384615,0.16491849488691349,1770.0,10400,9386,102,67,304,2724
7.0,10400.0,9165.0,2711.0,290.0,9082.0,0.0,83.0,116.0,0.0,0.0,2.1538461538461537,0.18773503107090384,1650.0,10400,9165,116,83,290,2711
33.0,10400.0,9281.0,2754.0,332.0,9196.0,0.0,84.0,128.0,0.0,0.0,2.105769230769231,0.20492364979724223,1868.0,10400,9281,128,84,332,2754
65.0,10400.0,9136.0,2750.0,330.0,9067.0,0.0,69.0,120.0,0.0,0.0,2.451923076923077,0.22900236915961078,1843.0,10400,9136,120,69,330,2750
18.0,10400.0,9352.0,2722.0,300.0,9282.0,0.0,70.0,102.0,0.0,0.0,1.4134615384615385,0.1620274924596063,2032.0,10400,9352,102,70,300,2722
36.0,10400.0,9342.0,2740.0,325.0,9266.0,0.0,76.0,133.0,0.0,0.0,1.9134615384615385,0.19377474398023953,1696.0,10400,9342,133,76,325,2740
46.0,10400.0,9306.0,2698.0,298.0,9243.0,0.0,63.0,116.0,0.0,0.0,1.6153846153846154,0.1630023643444149,1664.0,10400,9306,116,63,298,2698
12.0,10400.0,9168.0,2654.0,317.0,9090.0,0.0,78.0,129.0,0.0,0.0,2.298076923076923,0.2236401140553618,1846.0,10400,9168,129,78,317,2654
70.0,10400.0,9258.0,2681.0,340.0,9165.0,0.0,93.0,116.0,0.0,0.0,2.019230769230769,0.20495211977998526,1603.0,10400,9258,116,93,340,2681
27.0,10400.0,9233.0,2805.0,321.0,9162.0,0.0,71.0,132.0,0.0,0.0,1.9807692307692308,0.19322967931365168,1655.0,10400,9233,132,71,321,2805
