,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
0,0.6053704422590291,0.32363031137374443,0.09572786836761304,0.053467601500008906,0.05461307026167302,0.13083172161442413,0.27832357999411117,0.19365449466285214,0.08939720056313621,0.04887465368264499,0.02762299380179127,0.02533402289261666,0.023505920886873265,0.020261988686467856,0.011721046443268664,0.012638116936224188,0.012105495219530304,0.012439177059712774,0.00991643126177024,0.01281415343915344
5,0.38835637364849324,0.4120127746146767,0.3397340058871748,0.08496826176224324,0.03604884489042345,0.06635022959309146,0.24352732942530575,0.28626018499292444,0.16531374733129117,0.09923771108083919,0.04224327740941664,0.034110755058020685,0.029392006802721086,0.025540467923280425,0.01432648348280736,0.01510888705289336,0.01415663000092824,0.014792375283446716,0.012351750964039107,0.015684051398337107
10,0.11820310702783528,0.34958136837665826,0.4491616947052688,0.28562034030784034,0.05548437275212199,0.03786814821841381,0.08681587212362925,0.18071008482527373,0.24929327562733994,0.18721764030377216,0.09743142318300546,0.04689613771645023,0.03470710506424792,0.025991719025573193,0.01598656766357712,0.02076317952698079,0.01433067622760605,0.01590608465608466,0.012392386333064298,0.015680114638447967
15,0.06904294628479409,0.0914332382006748,0.29869451081488924,0.4909361471861469,0.15302804152879684,0.05942104597483084,0.051468800467535714,0.08976876845699518,0.1666840712893345,0.23622123756218905,0.17604132418214705,0.09885651999909817,0.06325759007306624,0.03235291907166906,0.015720375686392226,0.015765307612705094,0.018350853986818894,0.015698223733938022,0.013301777867455835,0.015443909045099518
20,0.07859533155049457,0.04323249151713827,0.06466664570757882,0.1705464031852921,0.22748100792851553,0.1947862210768916,0.08494090558276897,0.07625863249046387,0.1012958708499644,0.18530477161151915,0.2585298623668877,0.2236422070406446,0.14727954144620808,0.06932544692961358,0.024276434700489066,0.02833405312703419,0.02062911909403138,0.02231729497354497,0.016161667115056944,0.019156273620559335
25,0.21416583994708993,0.09051036754274978,0.0502019640994113,0.07532667949334615,0.22156197049984816,0.2754702091106474,0.1595245344718364,0.10399098875661372,0.09415253024536653,0.1156276323409408,0.16967463209551803,0.22295370464315775,0.2098910304862686,0.08987553486251405,0.0351957781405181,0.024916597816834404,0.022400329527522522,0.024078207671957674,0.01877073805039907,0.05483906525573193
30,0.3587953976880607,0.26161541005291,0.09063699325583129,0.05138215265530079,0.07608754835435347,0.12562821904621377,0.2422355278067758,0.17950004614248802,0.10705041925802167,0.0767645116020427,0.06570793833452061,0.06395415746001686,0.06593820861678006,0.04735897541887125,0.01648592192327417,0.01663140720711698,0.014325454840805718,0.020222741874527595,0.013939332795264998,0.015117157974300832
35,0.2896397659305268,0.3567880566578485,0.21888827176019077,0.10397460050237821,0.07925368452181138,0.0950143429808104,0.20825637731202642,0.25571253614494865,0.1617416419134255,0.107375449143173,0.0866616169226929,0.0751067689544252,0.07327160493827158,0.05492377269721021,0.020827665515904294,0.01923805142456562,0.02626589622203658,0.016266888699924414,0.01670253788897857,0.01748315066767448
40,0.16616218800322063,0.2560566195077066,0.3752566032770697,0.23992404200737524,0.13082774860531657,0.10690625944195005,0.15434756908197048,0.20100160441276013,0.24239766081871347,0.21188329187396346,0.14527261006691383,0.10821042925535114,0.09406273620559336,0.06593213884880551,0.023680727544498237,0.02397330295595279,0.026455896686159847,0.02100517290249433,0.021780557797506952,0.02111284328546233
45,0.08542439469749254,0.1445418835307875,0.2650052514159028,0.3197337962962963,0.22505292503876348,0.12345898592578547,0.10407869701187572,0.12547944928940563,0.19924463937621828,0.2159352460580695,0.18558379911227996,0.14198803041576477,0.11217309145880572,0.06707138347763347,0.021970023890827667,0.02061504806970107,0.023034437946718642,0.026184571050642483,0.034455990494126086,0.020782155454774503
50,0.052183438290775264,0.06650255084924468,0.14906321610216855,0.25754193722943725,0.33936926041816523,0.19581308803586364,0.09629038518161619,0.1094606760259013,0.1476513428633312,0.20058746446339729,0.2658193599649294,0.24036625086429766,0.16246787603930457,0.09719403860028857,0.026319585162670255,0.02133979687213126,0.022324909495962133,0.02727584089191232,0.03543824544883867,0.02517951625094482
55,0.03877206981826547,0.04350357166820029,0.058124790409121406,0.11716328296189409,0.237830987547755,0.20844542904220853,0.07592534039098119,0.076853437999877,0.08909958151551715,0.12432782762773438,0.1947270893077855,0.2557485194203944,0.21025368480725626,0.10300283965648553,0.027818038825722053,0.023699989985478953,0.025080641418360708,0.025186011904761902,0.018999136848713127,0.018770471151423523
60,0.026827409707844488,0.027954354296066266,0.032079630561144636,0.05590948617568987,0.11680024057289917,0.1463383678689124,0.05837699751064002,0.05591219853574499,0.05775782047711874,0.0732473544973545,0.09815378011580544,0.15679429619859306,0.19642983119173593,0.15275413485048903,0.06668363103055776,0.03397374109124897,0.018363617376775273,0.023452262849584276,0.011567067975966286,0.013605442176870744
65,0.023257239187945696,0.02443001279618127,0.0241613162772934,0.02875815028592806,0.05529280359340783,0.06302029536176283,0.042167856696735256,0.04215080230251015,0.040715987499613235,0.04404687870172947,0.05905460573182092,0.07725212974236413,0.1536270156210633,0.22044571458633958,0.2052168155152789,0.10315452197352826,0.030774563724125115,0.03618551587301586,0.015361570711146987,0.015869079113126724
70,0.010778266620657923,0.010978446581933901,0.011905489650868175,0.01119481298879447,0.015511981689285312,0.019771333537103794,0.011759772299401311,0.012805381559923714,0.011715728364120178,0.011558855853010079,0.012811489670666885,0.0167145318512506,0.05372795414462078,0.16440665333894497,0.22499906187849436,0.19408220044063895,0.06824352548036756,0.0532436933106576,0.05385587615460497,0.015565948601662884
75,0.008709311019093627,0.008676661586534773,0.011587901250093147,0.008413472244490761,0.013567816980770149,0.010489457513859905,0.008890651070246332,0.008864044043004799,0.008888347411739227,0.008128072435441837,0.007784482863596787,0.01067172844516595,0.020513668430335096,0.061931786866682666,0.14544694453825657,0.11252722697911972,0.11690249930381508,0.10289469954648527,0.08361497847726668,0.06273620559334843
80,0.007500143777317693,0.007309129620044478,0.007190568177584022,0.008804702670443407,0.00888111622628239,0.008478212370974654,0.006884915058397345,0.010880494801279684,0.008818632228719946,0.008165192555739819,0.007321748223646959,0.010153384665103416,0.009968820861678001,0.016611270191999355,0.045979680288190945,0.10510161609333539,0.20825559268541727,0.14038643235071804,0.19392739440408932,0.05894510582010586
85,0.0037858364964343237,0.003751689383482861,0.003920513823682838,0.003699918051769904,0.004719669631867519,0.004476691997442331,0.004774340408826075,0.003310122700566015,0.003439443516197902,0.004559502421753664,0.004394266656924884,0.005008581912878789,0.006253936759889139,0.00959464436026936,0.017622026154827573,0.04544245405838466,0.068961756242458,0.08328373015873014,0.09648237826203925,0.1604623330813807
90,0.0012718900966183575,0.001320205266083889,0.0012872373127654818,0.0013212203605722124,0.0014403902715836253,0.001470748399699263,0.0013868813405069744,0.0014323397317583372,0.0015029858597110056,0.002528486864618705,0.0024060488854792655,0.0015922572074915826,0.0012999181153943056,0.0017165391514349846,0.007511812513290053,0.015562409243402945,0.040146372876636034,0.04066043083900225,0.11124562819478068,0.20867976820357773
95,0.0005849939613526569,0.0005966758684149989,0.0005797225482524778,0.0005459967844227103,0.000607676353522275,0.001529376321873002,0.0005353462351776008,0.0005336426802633199,0.0005185610631517063,0.0005428174932217217,0.0006084808299998174,0.0005599146224146223,0.0005442176870748298,0.0006311565556357223,0.0007727775901534766,0.004156026238045165,0.0043433235867446395,0.024069349962207106,0.07427584969957853,0.0003228143109095491
