run,susceptible_time,infection_time,diagnosis_time,hospitalization_time,recover_time,immunity_loss_time,death_time,icu_time,rehospitalization_time,vaccination_time,R_0,R_0_err,Last_infection_time,n_agents,infection_time_vaccinated_0,icu_time_vaccinated_0,death_time_vaccinated_0,hospitalization_time_vaccinated_0,diagnosis_time_vaccinated_0
0.0,10400.0,8714.0,2532.0,282.0,8660.0,0.0,54.0,123.0,0.0,0.0,2.1538461538461537,0.17325316725642312,1889.0,10400,8714,123,54,282,2532
3.0,10400.0,8705.0,2562.0,289.0,8638.0,0.0,67.0,110.0,0.0,0.0,2.769230769230769,0.17296278702818954,1672.0,10400,8705,110,67,289,2562
24.0,10400.0,8741.0,2586.0,291.0,8679.0,0.0,62.0,124.0,0.0,0.0,2.25,0.16942881683206748,1907.0,10400,8741,124,62,291,2586
19.0,10400.0,8705.0,2585.0,290.0,8644.0,0.0,61.0,124.0,0.0,0.0,2.3173076923076925,0.1952882356243882,1578.0,10400,8705,124,61,290,2585
42.0,10400.0,8758.0,2530.0,286.0,8692.0,0.0,65.0,118.0,0.0,0.0,2.1923076923076925,0.1717963580093178,2073.0,10400,8758,118,65,286,2530
55.0,10400.0,8752.0,2607.0,299.0,8701.0,0.0,51.0,117.0,0.0,0.0,2.3846153846153846,0.18849849510381403,1797.0,10400,8752,117,51,299,2607
77.0,10400.0,8751.0,2605.0,318.0,8678.0,0.0,73.0,129.0,0.0,0.0,2.1634615384615383,0.16459977992386637,1763.0,10400,8751,129,73,318,2605
66.0,10400.0,8759.0,2452.0,279.0,8692.0,0.0,67.0,106.0,0.0,0.0,2.3365384615384617,0.1519174047210651,1599.0,10400,8759,106,67,279,2452
40.0,10400.0,8802.0,2625.0,299.0,8722.0,0.0,80.0,107.0,0.0,0.0,2.5288461538461537,0.15873656951252044,1588.0,10400,8802,107,80,299,2625
5.0,10400.0,8703.0,2562.0,286.0,8637.0,0.0,66.0,114.0,0.0,0.0,2.3365384615384617,0.15435583515607154,1717.0,10400,8703,114,66,286,2562
4.0,10400.0,8757.0,2564.0,277.0,8689.0,0.0,68.0,111.0,0.0,0.0,2.144230769230769,0.18404339056300556,1873.0,10400,8757,111,68,277,2564
49.0,10400.0,8779.0,2564.0,300.0,8709.0,0.0,70.0,105.0,0.0,0.0,2.3653846153846154,0.17607966973727962,1859.0,10400,8779,105,70,300,2564
75.0,10400.0,8766.0,2567.0,297.0,8705.0,0.0,61.0,111.0,0.0,0.0,2.375,0.1646434012927506,1978.0,10400,8766,111,61,297,2567
87.0,10400.0,8738.0,2620.0,284.0,8663.0,0.0,75.0,111.0,0.0,0.0,2.1538461538461537,0.15803665566873143,1817.0,10400,8738,111,75,284,2620
56.0,10400.0,8741.0,2523.0,260.0,8659.0,0.0,82.0,100.0,0.0,0.0,2.0673076923076925,0.16693902364950697,1982.0,10400,8741,100,82,260,2523
35.0,10400.0,7.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2020305089104421,120.0,10400,7,0,0,0,2
94.0,10400.0,8735.0,2560.0,260.0,8673.0,0.0,62.0,101.0,0.0,0.0,2.125,0.1726693192241873,1834.0,10400,8735,101,62,260,2560
33.0,10400.0,8830.0,2706.0,329.0,8742.0,0.0,88.0,124.0,0.0,0.0,2.3653846153846154,0.1858802666910222,1807.0,10400,8830,124,88,329,2706
9.0,10400.0,8719.0,2630.0,318.0,8640.0,0.0,79.0,127.0,0.0,0.0,2.144230769230769,0.16869345329837157,1764.0,10400,8719,127,79,318,2630
65.0,10400.0,8693.0,2490.0,245.0,8618.0,0.0,75.0,100.0,0.0,0.0,2.4134615384615383,0.15794291003728214,1657.0,10400,8693,100,75,245,2490
29.0,10400.0,8807.0,2558.0,255.0,8741.0,0.0,66.0,102.0,0.0,0.0,2.298076923076923,0.17168921312133517,1752.0,10400,8807,102,66,255,2558
76.0,10400.0,8715.0,2563.0,277.0,8647.0,0.0,68.0,109.0,0.0,0.0,2.3173076923076925,0.16581684058707188,1596.0,10400,8715,109,68,277,2563
64.0,10400.0,8721.0,2443.0,282.0,8661.0,0.0,60.0,111.0,0.0,0.0,1.9519230769230769,0.1630436603880646,1780.0,10400,8721,111,60,282,2443
27.0,10400.0,8810.0,2534.0,301.0,8731.0,0.0,79.0,113.0,0.0,0.0,2.144230769230769,0.1619166551565853,1685.0,10400,8810,113,79,301,2534
78.0,10400.0,8684.0,2573.0,283.0,8622.0,0.0,62.0,113.0,0.0,0.0,2.3365384615384617,0.1731676593953673,1721.0,10400,8684,113,62,283,2573
47.0,10400.0,8711.0,2567.0,308.0,8652.0,0.0,59.0,114.0,0.0,0.0,2.2884615384615383,0.18162051474085825,1765.0,10400,8711,114,59,308,2567
2.0,10400.0,8769.0,2525.0,285.0,8700.0,0.0,69.0,110.0,0.0,0.0,2.326923076923077,0.17891168987246853,1760.0,10400,8769,110,69,285,2525
10.0,10400.0,8794.0,2591.0,275.0,8734.0,0.0,60.0,99.0,0.0,0.0,2.326923076923077,0.2101078654004163,1641.0,10400,8794,99,60,275,2591
44.0,10400.0,8702.0,2606.0,265.0,8641.0,0.0,61.0,93.0,0.0,0.0,2.0865384615384617,0.1540531421232143,1673.0,10400,8702,93,61,265,2606
82.0,10400.0,8830.0,2666.0,320.0,8754.0,0.0,76.0,125.0,0.0,0.0,2.4711538461538463,0.18980588860464148,1749.0,10400,8830,125,76,320,2666
15.0,10400.0,8792.0,2603.0,296.0,8720.0,0.0,72.0,115.0,0.0,0.0,2.125,0.16321973944894178,1748.0,10400,8792,115,72,296,2603
58.0,10400.0,8698.0,2518.0,281.0,8641.0,0.0,57.0,101.0,0.0,0.0,2.394230769230769,0.19295773258119775,1733.0,10400,8698,101,57,281,2518
45.0,10400.0,8712.0,2558.0,267.0,8665.0,0.0,46.0,101.0,0.0,0.0,2.2403846153846154,0.15184648431818626,2195.0,10400,8712,101,46,267,2558
36.0,10400.0,8736.0,2555.0,309.0,8657.0,0.0,79.0,110.0,0.0,0.0,2.5673076923076925,0.1796002235678569,1517.0,10400,8736,110,79,309,2555
50.0,10400.0,8737.0,2515.0,277.0,8674.0,0.0,63.0,97.0,0.0,0.0,2.451923076923077,0.17223208876283583,1772.0,10400,8737,97,63,277,2515
72.0,10400.0,8714.0,2540.0,312.0,8631.0,0.0,83.0,107.0,0.0,0.0,2.2788461538461537,0.14934305404376366,1599.0,10400,8714,107,83,312,2540
