,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
0-4,,,,,,,4.979296066252589,6.930641821946168,9.588509316770185,10.463250517598341,11.405279503105595,12.784679089026916,14.365942028985508,16.687370600414088,17.52846790890269,18.302277432712213,19.883540372670804,22.070393374741197,24.660973084886127,28.53002070393374,32.298136645962735,36.436335403726694,42.05486542443062,49.456521739130444,57.46376811594204,66.95134575569355,79.23136645962732,92.48706004140786,109.37629399585921,127.88043478260873,147.93219461697723,170.00258799171843,192.37577639751547,219.4591097308489,250.2096273291926,275.9135610766046,300.74275362318826,326.98498964803315,352.5879917184264,373.85093167701865,392.96066252588,406.1827122153209,430.036231884058,450.02070393374737,459.10455486542463,462.7044513457558,458.5998964803312,437.0005175983437,411.53209109730847,375.83592132505186,335.69875776397504,294.5186335403726,252.02639751552795,216.128364389234,187.463768115942,160.0103519668737,132.96066252587985,108.60248447204965,90.23291925465843,75.16045548654245,60.62629399585922,50.2639751552795,41.785714285714285,33.34109730848861,27.890786749482405,22.877846790890274,18.504140786749492,15.711697722567292,13.154761904761907,11.506211180124225,10.227743271221529,8.2427536231884,7.16614906832298,5.887681159420292,4.710144927536232,3.6671842650103534,2.859730848861283,2.01863354037267,1.7494824016563142,1.0429606625258798,0.6055900621118012,0.4710144927536231,0.37008281573498963,0.3027950310559006,0.23550724637681164,0.06728778467908904,0.06728778467908904,0.06728778467908904,0.03364389233954452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-14,,,,,,,2.127976190476191,3.0537840136054424,4.076318027210886,5.306122448979592,6.218112244897959,7.821003401360547,9.603528911564625,11.206420068027219,12.767857142857148,15.130739795918373,17.148171768707485,19.372874149659868,22.21938775510205,26.36479591836736,31.062925170068016,35.982142857142854,42.393707482993214,50.11798469387755,59.541879251700664,69.38031462585036,81.05654761904766,96.3116496598639,112.78273809523814,130.44217687074834,149.98086734693877,171.4264455782313,195.96726190476195,223.796768707483,251.2393707482993,278.5437925170067,304.5907738095238,330.34757653061234,358.0112670068027,380.2444727891155,400.5155187074831,416.25425170068047,437.4787414965985,453.41092687074837,459.87776360544217,460.15412414966,457.2385204081632,435.30931122448993,407.3968962585033,373.2663690476192,335.6951530612245,297.81994047619054,257.3331207482993,216.91539115646262,186.83354591836738,160.55165816326533,132.0588860544218,108.49914965986393,90.32844387755104,74.05080782312926,60.288052721088405,49.9936224489796,41.951530612244895,34.73852040816327,28.838222789115623,23.7531887755102,19.732142857142865,16.67835884353742,14.108205782312927,12.035501700680271,10.239158163265316,8.235544217687078,6.867559523809526,5.541028911564626,4.421768707482992,3.343962585034012,2.50106292517007,1.865433673469389,1.5614370748299322,1.1607142857142854,0.9258078231292514,0.6356292517006802,0.5665391156462584,0.48363095238095233,0.3454506802721089,0.2625425170068027,0.234906462585034,0.15199829931972791,0.11054421768707484,0.05527210884353742,0.05527210884353742,0.05527210884353742,0.041454081632653066,0.02763605442176871,0.013818027210884355,0.013818027210884355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-34,,,,,,,0.9338054976025764,1.4215255664141138,1.9806193038322162,2.6705647670290245,3.532996596025034,4.514384539365323,5.632572014201529,6.905402437685294,8.481570952746969,10.23022583360785,12.472548588997475,15.030105047399433,17.998060100289155,21.465630833424836,25.278174298158927,30.446817466417773,36.257823652135734,43.13348706123494,51.32361553383842,61.2505032758684,71.42125105230407,84.0841294242524,98.50161048277884,115.1792577138465,133.07025731122582,153.6437172870686,176.46544782401813,198.95410124080377,222.73342849822487,250.2003953003184,275.47856959847735,301.5894366970461,326.1717177262912,348.4640935544087,368.276234398448,383.4669302002122,397.1766223783902,405.93774019984625,406.8299110574283,404.07012920464103,395.3863328575091,381.2483986676916,363.00053072727945,338.3647194465795,310.71931847296946,282.74084037919556,252.84122103876143,223.45311299000778,197.02701218842654,172.33767065627168,147.71375498700638,127.02133889681933,109.28498224808759,92.58949159986821,77.96383734123933,66.37751180410675,56.36735478203584,46.499945097178,38.77969327623442,32.427436770250004,27.348010687749355,22.62545294828155,18.836700706416305,15.815215402071667,13.263606749386929,11.324622085575198,9.33210717030856,7.482339592255044,6.173822334467993,5.073478276783427,4.181307419201349,3.193971670143845,2.545660846967533,1.9984627209838572,1.5285860693239626,1.1836133377255595,0.981387943340288,0.7970059661066577,0.6780498517623804,0.5412503202664615,0.4401376230738259,0.4044507887705428,0.31523370301233483,0.26170345155741004,0.21412100581969915,0.1903297829508437,0.14869514293034664,0.11300830862706346,0.053530251454924786,0.053530251454924786,0.04163464002049705,0.035686834303283184,0.017843417151641595,0.01189561143442773,0.005947805717213865,0.005947805717213865,0.005947805717213865,0.005947805717213865,0.01189561143442773,0.01189561143442773,0.005947805717213865,0.005947805717213865,0.005947805717213865,0.005947805717213865,0.005947805717213865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35-59,,,,,,,1.12518221574344,1.5199829931972786,2.045068027210885,2.5583090379008757,3.162354227405246,4.145408163265307,5.14030612244898,6.470784742468414,7.95128765792031,9.984511661807582,12.207240038872692,14.690536929057338,17.70681486880466,21.12184159378037,25.113277453838673,30.26937560738581,35.796586491739546,42.21209912536444,50.36868318756074,59.35434888241011,68.90457968901846,80.83545918367348,95.5654761904762,111.36145529640426,129.03668610301264,148.48062439261415,170.58157191448012,192.18112244897966,215.72704081632654,242.14316083576296,268.61850097181735,294.6042881438289,318.95560009718173,341.72770894071897,360.07410106899897,373.94740038872686,386.06383624878544,392.191144314869,392.976797862002,389.1353862973761,381.74076773566566,370.92717444120507,356.465621963071,334.19096209912533,310.1160106899902,283.91308309037885,257.81675170068024,228.63702623906707,202.9947157434402,177.612973760933,153.73542274052477,132.514880952381,114.20007288629732,96.63143828960158,81.79877308066081,69.31122448979595,58.714771622934876,48.60392371234209,40.82240038872692,34.48189990281827,29.013909135082603,24.414480077745377,20.695456754130223,17.473882410106903,14.607628765792043,12.187499999999995,10.000303692905723,8.35003644314868,6.8774295432458645,5.665391156462583,4.615221088435372,3.7466593780369277,2.913629737609328,2.3924927113702616,1.8555636540330411,1.3423226433430508,1.1567662779397472,0.9475218658892128,0.6790573372206025,0.5606171039844511,0.4263848396501459,0.347424684159378,0.29215257531584055,0.21319241982507287,0.1579203109815355,0.13423226433430516,0.11054421768707484,0.07106413994169097,0.05922011661807581,0.04342808551992225,0.03158406219630709,0.02368804664723032,0.02368804664723032,0.01184402332361516,0.01184402332361516,0.01184402332361516,0.007896015549076773,0.0039480077745383865,0.0039480077745383865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60-79,,,,,,,0.5178870209545056,0.673253127240857,0.9408280880673513,1.242928850290813,1.5622925132127576,1.8643932754362185,2.4858577005816254,3.107322125727032,3.9618357103019655,4.928558149417044,6.0592781451677125,7.362627147903216,9.157968820545502,11.100045149124893,13.275170637133812,15.674713834223022,18.71298435715613,22.105144344408135,26.300029214139617,31.806894536955863,36.942607494754704,43.364406554590566,51.85775369824444,60.92940801529752,70.66568400924224,82.39582503386178,95.222160252835,108.61817119485818,122.77374976761466,139.7777069556209,156.46230048070524,175.27023079170303,193.31859347196757,210.39160226276783,225.3412742676547,239.43643268796632,253.41938225373815,263.8720686266699,270.29386768650573,274.25570339680786,275.44684354500316,274.1952832443631,269.1717791411044,258.9521419276021,248.48219265397185,235.48322842801358,219.2215759700422,201.9586752715586,185.86102037022272,168.63264547313605,150.57565134252232,133.31275064403883,116.78352322524087,102.77467930842153,89.08519905452408,76.62138475021901,66.66069104719404,56.881257801503125,47.913180888640966,40.835391602262725,34.12012323055265,28.665046609831858,24.116272275781455,20.318434122115086,16.900379783815357,14.22463017555041,11.980453084747552,10.13332271000982,8.493347143653887,7.284944094760042,6.128329747961647,5.127081507449604,4.281199373223911,3.6338405970307797,2.99511327118689,2.3304915942952746,1.8298674740392527,1.4673465593710995,1.1048256447029454,0.8717764852734179,0.6042015244469234,0.5006241202560222,0.4315725174620882,0.3279951132711871,0.25894351047725284,0.21578625873104407,0.1985233580325605,0.13810320558786815,0.08631450349241761,0.060420152444692315,0.03452580139696704,0.017262900698483522,0.008631450349241761,0.0,0.008631450349241761,0.008631450349241761,0.008631450349241761,0.008631450349241761,0.008631450349241761,0.008631450349241761,0.008631450349241761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80+,,,,,,,0.5209806694955208,0.5516265912305515,0.7661480433757659,0.9500235737859497,1.0419613389910416,1.1338991041961335,1.4097123998114094,1.5016501650165013,1.9000471475718994,2.206506364922206,2.696841112682696,3.2178217821782167,3.769448373408768,4.933993399339932,6.190476190476189,7.140499764262138,8.427628477133425,9.592173503064588,11.737388024516738,14.097123998114109,16.579443658651595,19.98114097124,23.168316831683196,26.539368222536563,30.52333804809055,35.70249882131072,41.00424328147103,48.696369636963716,55.74493163602079,64.44837340876947,73.85667138142385,84.33757661480435,95.55398396982554,107.3220179160773,118.84488448844884,129.57095709570953,139.04054691183404,147.95851013672794,156.3861386138614,160.95238095238096,166.0702498821311,169.31871758604436,172.26072607260718,172.9042904290429,171.49457802923146,166.80575200377191,161.84111268269686,154.85384252710983,145.35360678925045,133.4629891560584,121.97076850542203,110.99952852428099,100.45733144743049,90.86515794436589,79.67939651107969,69.6888260254597,61.78217821782181,54.94813767090995,47.13342762847714,40.63649222065066,34.53795379537955,29.542668552569562,24.731258840169744,20.532767562470557,16.79396511079681,14.679396511079695,12.68741159830269,10.388967468175386,8.64214992927864,7.140499764262138,5.914662894860913,4.842055634134841,3.983969825553983,3.156529938708156,2.3903818953323905,1.991984912776992,1.532296086751532,1.1645450259311645,1.0113154172560113,0.7048561999057048,0.5516265912305517,0.4903347477604903,0.4290429042904291,0.3064592173503065,0.21452145214521456,0.12258368694012267,0.091937765205092,0.06129184347006136,0.030645921735030734,0.030645921735030734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
