,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
0-4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03364389233954452,0.03364389233954452,0.03364389233954452,0.06728778467908904,0.10093167701863355,0.10093167701863355,0.13457556935817808,0.1682194616977226,0.1682194616977226,0.2018633540372671,0.23550724637681164,0.3027950310559007,0.37008281573498975,0.33643892339544523,0.26915113871635615,0.26915113871635615,0.23550724637681164,0.23550724637681164,0.1682194616977226,0.13457556935817808,0.1682194616977226,0.23550724637681164,0.23550724637681164,0.23550724637681164,0.2018633540372671,0.1682194616977226,0.13457556935817808,0.1682194616977226,0.10093167701863355,0.13457556935817808,0.13457556935817808,0.13457556935817808,0.1682194616977226,0.1682194616977226,0.13457556935817808,0.2018633540372671,0.2018633540372671,0.23550724637681164,0.2018633540372671,0.1682194616977226,0.1682194616977226,0.13457556935817808,0.10093167701863355,0.10093167701863355,0.06728778467908904,0.10093167701863355,0.10093167701863355,0.10093167701863355,0.10093167701863355,0.06728778467908904,0.03364389233954452,0.03364389233954452,0.0,0.0,0.0,0.0,0.03364389233954452,0.06728778467908904,0.06728778467908904,0.06728778467908904,0.06728778467908904,0.06728778467908904,0.06728778467908904,0.03364389233954452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-14,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013818027210884355,0.013818027210884355,0.013818027210884355,0.013818027210884355,0.013818027210884355,0.02763605442176871,0.02763605442176871,0.02763605442176871,0.041454081632653066,0.041454081632653066,0.05527210884353742,0.06909013605442178,0.08290816326530613,0.11054421768707484,0.11054421768707484,0.09672619047619048,0.09672619047619048,0.1243622448979592,0.1243622448979592,0.13818027210884357,0.11054421768707484,0.11054421768707484,0.11054421768707484,0.16581632653061226,0.15199829931972791,0.15199829931972791,0.13818027210884357,0.16581632653061226,0.16581632653061226,0.22108843537414968,0.22108843537414968,0.20727040816326534,0.2487244897959184,0.2487244897959184,0.27636054421768713,0.3178146258503402,0.27636054421768713,0.2487244897959184,0.29017857142857145,0.23490646258503403,0.22108843537414968,0.19345238095238096,0.16581632653061226,0.16581632653061226,0.1796343537414966,0.13818027210884357,0.13818027210884357,0.1243622448979592,0.09672619047619048,0.09672619047619048,0.08290816326530613,0.05527210884353742,0.05527210884353742,0.06909013605442177,0.06909013605442177,0.08290816326530613,0.05527210884353742,0.08290816326530613,0.09672619047619048,0.09672619047619048,0.08290816326530613,0.11054421768707484,0.09672619047619048,0.09672619047619048,0.06909013605442178,0.041454081632653066,0.02763605442176871,0.02763605442176871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-34,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005947805717213865,0.005947805717213865,0.005947805717213865,0.005947805717213865,0.005947805717213865,0.01189561143442773,0.01189561143442773,0.005947805717213865,0.017843417151641595,0.017843417151641595,0.035686834303283184,0.05353025145492477,0.059478057172138644,0.07732147432378024,0.08921708575820796,0.08921708575820797,0.10706050290984957,0.11895611434427732,0.11300830862706344,0.14869514293034666,0.1427473372131328,0.14869514293034666,0.19032978295084377,0.23791222868855474,0.25575564584019633,0.2795468687090518,0.2676512572746241,0.2795468687090518,0.29144248014347957,0.2854946744262657,0.27359906299183795,0.2795468687090518,0.2914424801434795,0.27954686870905177,0.29144248014347957,0.2973902858606934,0.28549467442626564,0.2676512572746241,0.23196442297134082,0.20222539438527146,0.2141210058196992,0.23196442297134082,0.23196442297134087,0.23791222868855474,0.20817320010248533,0.2081732001024853,0.22006881153691307,0.19627758866805764,0.16653856008198825,0.15464294864756054,0.12490392006149119,0.12490392006149119,0.12490392006149119,0.10706050290984957,0.09516489147542184,0.08326928004099411,0.059478057172138644,0.053530251454924786,0.047582445737710914,0.029739028586069322,0.017843417151641595,0.017843417151641595,0.01189561143442773,0.01189561143442773,0.005947805717213865,0.005947805717213865,0.005947805717213865,0.005947805717213865,0.005947805717213865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35-59,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039480077745383865,0.0039480077745383865,0.0039480077745383865,0.0039480077745383865,0.007896015549076773,0.01184402332361516,0.01184402332361516,0.007896015549076773,0.007896015549076773,0.015792031098153546,0.02368804664723032,0.02368804664723032,0.027636054421768707,0.03158406219630709,0.03553206997084548,0.04342808551992225,0.05132410106899903,0.05922011661807581,0.06711613216715259,0.07896015549076776,0.07896015549076776,0.11054421768707488,0.1381802721088436,0.15397230320699715,0.15002429543245877,0.15792031098153556,0.17371234207968908,0.20134839650145767,0.21319241982507278,0.22108843537414957,0.2368804664723031,0.2526724975704567,0.30004859086491725,0.3237366375121476,0.35926870748299317,0.3395286686103012,0.327684645286686,0.347424684159378,0.347424684159378,0.31189261418853237,0.288204567541302,0.2487244897959183,0.25662050534499514,0.24477648202137994,0.2171404275996112,0.20924441205053446,0.20924441205053446,0.1974003887269193,0.19345238095238093,0.17766034985422743,0.18160835762876584,0.15397230320699715,0.15002429543245877,0.1302842565597668,0.11449222546161326,0.11054421768707488,0.11449222546161326,0.09475218658892132,0.08685617103984454,0.07501214771622937,0.07106413994169097,0.07501214771622935,0.0631681243926142,0.04342808551992225,0.04342808551992225,0.03948007774538386,0.03553206997084548,0.03158406219630709,0.02368804664723032,0.01974003887269193,0.015792031098153546,0.015792031098153546,0.015792031098153546,0.015792031098153546,0.01184402332361516,0.007896015549076773,0.0039480077745383865,0.0039480077745383865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60-79,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008631450349241761,0.008631450349241761,0.008631450349241761,0.008631450349241761,0.008631450349241761,0.008631450349241761,0.02589435104772528,0.017262900698483522,0.02589435104772528,0.034525801396967044,0.034525801396967044,0.034525801396967044,0.034525801396967044,0.02589435104772528,0.05178870209545056,0.05178870209545056,0.07768305314317585,0.12947175523862645,0.1553661062863517,0.2416806097787694,0.29346931187422,0.327995113271187,0.4056781664143628,0.5092555706052638,0.6559902265423737,0.7940934321302415,0.8545135845749335,1.0616683929567357,1.2601917509892966,1.5105038111173072,1.778078771943801,1.9766021299763616,2.2528085411520986,2.632592356518736,2.7706955621066043,3.133216476774756,3.323108384458074,3.530263192839877,3.8582583061110642,4.203516320080733,4.393408227764051,4.807717844527654,4.9889783018617315,5.187501659894291,5.394656468276094,5.420550819323822,5.446445170371547,5.463708071070028,5.455076620720786,5.4291822696730625,5.377393567577612,5.213396010942019,5.07529280535415,4.8595065466231055,4.747297692082962,4.358882426367084,4.125833266937556,3.8582583061110625,3.74604945157092,3.50436884179215,3.323108384458074,3.0555334236315796,3.029639072583855,2.7016439593126687,2.5721722040740422,2.218282739755131,2.088810984516505,1.9075505271824278,1.6917642684513836,1.4155578572756475,1.3292433537832302,1.1307199957506697,0.9839853398135601,0.8027248824794831,0.6214644251454063,0.5006241202560219,0.4229410671128462,0.30210076222346177,0.25031206012801116,0.2589435104772529,0.22441770908028583,0.17262900698483527,0.19852335803256058,0.16399755663559348,0.1639975566355935,0.15536610628635175,0.10357740419090113,0.07768305314317583,0.0863145034924176,0.043157251746208804,0.034525801396967044,0.034525801396967044,0.02589435104772528,0.02589435104772528,0.02589435104772528,0.017262900698483522,0.017262900698483522,0.02589435104772528,0.017262900698483522,0.008631450349241761,0.008631450349241761,0.008631450349241761,0.008631450349241761,0.008631450349241761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80+,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030645921735030644,0.06129184347006129,0.09193776520509193,0.09193776520509193,0.09193776520509193,0.09193776520509193,0.12258368694012257,0.09193776520509193,0.12258368694012257,0.09193776520509193,0.12258368694012257,0.3064592173503064,0.5209806694955209,0.7967939651107966,1.011315417256011,1.4097123998114094,1.777463460631777,2.267798208392267,2.359735973597359,3.0033003300330026,3.616218764733615,4.443658651579442,4.9033474776049015,5.822725129655821,7.017916077322016,8.764733616218761,9.806694955209803,10.726072607260724,12.62611975483263,14.31164545025932,16.027817067421044,17.406883545497422,18.51013672795852,20.410183875530432,22.402168788307424,23.19896275341823,24.21027817067424,25.405469118340424,26.294200848656313,27.366808109382376,28.07166430928808,28.807166430928827,29.420084865629438,30.553983969825584,30.615275813295636,30.70721357850073,30.09429514380012,29.450730787364467,28.43941537010846,27.673267326732685,26.355492692126386,25.037718057520053,24.05704856199908,23.382838283828406,22.21829325789724,20.900518623290917,19.276284771334293,18.050447901933072,16.640735502121654,15.568128241395582,14.035832154644043,12.411598302687416,11.430928807166431,10.480905233380478,9.347006129184344,8.580858085808577,7.26308345120226,6.374351720886373,6.006600660066005,5.271098538425269,4.443658651579442,3.953323903818952,3.4323432343234312,3.0033003300330026,2.604903347477604,2.1452145214521448,1.685525695426685,1.685525695426685,1.2871287128712867,1.1951909476661948,0.9193776520509193,0.9500235737859498,0.7048561999057048,0.766148043375766,0.5822725129655822,0.3983969825553984,0.27581329561527584,0.3064592173503065,0.18387553041018392,0.18387553041018392,0.06129184347006133,0.06129184347006133,0.09193776520509196,0.0612918434700613,0.030645921735030644,0.06129184347006129,0.06129184347006129,0.06129184347006129,0.06129184347006129,0.030645921735030644,0.030645921735030644,0.030645921735030644,0.0,0.0,0.0,0.0,0.0,0.0
