,school,home,work,hospital,public
0,0.08333333333333333,0.6666666666666666,0.041666666666666664,0.0,0.20833333333333334
0,0.25,0.25,0.0,0.0,0.5
0,0.0713989207139892,0.44638162446381624,0.20755500207555003,0.0031825100318251002,0.2714819427148194
0,0.0,1.0,0.0,0.0,0.0
0,0.3,0.5,0.0,0.0,0.2
0,0.071658615136876,0.43666129898013956,0.20933977455716588,0.002012882447665056,0.28032742887815354
0,0.06888586956521739,0.45163043478260867,0.20067934782608696,0.003125,0.27567934782608694
0,0.16,0.6,0.0,0.0,0.24
0,0.0,1.0,0.0,0.0,0.0
0,0.07246184472461845,0.43702720637027204,0.2046449900464499,0.0023888520238885204,0.28347710683477106
0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666
0,0.07257742921706767,0.4406486773893394,0.20417386680845406,0.0038548451415658645,0.278745181443573
0,0.07315068493150685,0.44945205479452055,0.1978082191780822,0.0028767123287671234,0.27671232876712326
0,0.06856050259491941,0.44564326686697625,0.19967222070472548,0.0035509423654739142,0.28257306746790495
0,0.07726063829787234,0.43457446808510636,0.20638297872340425,0.0023936170212765957,0.27938829787234043
0,0.16666666666666666,0.5,0.0,0.0,0.3333333333333333
0,0.06633409734393961,0.436294997977619,0.20884454631252528,0.0024268572199002292,0.2860995011460159
0,0.0784313725490196,0.6666666666666666,0.0,0.0392156862745098,0.21568627450980393
0,0.14285714285714285,0.5714285714285714,0.0,0.0,0.2857142857142857
0,0.2,0.6,0.0,0.0,0.2
0,0.11538461538461539,0.6153846153846154,0.0,0.0,0.2692307692307692
0,0.0739262114537445,0.4412169603524229,0.20718612334801761,0.0030286343612334803,0.2746420704845815
0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666
0,0.07102195716996476,0.43534833288153973,0.20683111954459202,0.002304147465437788,0.2844944429384657
0,0.07076047173647824,0.44123627490849937,0.20008133387555918,0.0036600244001626678,0.28426189507930055
0,0.07308522114347357,0.4401294498381877,0.20199568500539375,0.0018878101402373248,0.2829018338727077
0,0.09090909090909091,0.6515151515151515,0.045454545454545456,0.0,0.21212121212121213
0,0.1111111111111111,0.5555555555555556,0.0,0.0,0.3333333333333333
0,0.07610020311442113,0.4323628977657414,0.2032498307379824,0.0018957345971563982,0.2863913337846987
