,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126
0-4,,,,,,,6.964285714285716,8.747412008281575,9.92494824016563,10.66511387163561,10.160455486542443,10.093167701863353,12.17908902691512,14.063146997929609,16.317287784679092,20.253623188405804,23.853519668737068,29.169254658385082,35.12422360248446,44.78002070393374,56.35351966873704,77.01086956521736,100.7971014492753,133.90269151138716,178.31262939958597,237.89596273291932,285.16563146997913,336.97722567287786,414.2908902691513,492.17650103519696,563.333333333333,626.2810559006211,672.6423395445132,694.1071428571428,701.6433747412005,682.9373706004139,641.2189440993787,581.0636645962734,506.03778467908927,422.5672877846792,361.4699792960662,302.0885093167703,230.7298136645962,173.70341614906832,129.46169772256732,93.96739130434781,66.54761904761904,48.68271221532091,35.56159420289856,24.42546583850933,16.956521739130434,12.145445134575569,8.444616977225676,5.584886128364389,3.700828157349896,2.1868530020703942,1.4130434782608694,0.8747412008281575,0.5046583850931677,0.33643892339544523,0.1682194616977226,0.06728778467908904,0.06728778467908904,0.03364389233954452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-14,,,,,,,2.7912414965986394,3.813775510204082,5.098852040816326,6.135204081632659,7.074829931972793,8.180272108843539,10.23915816326531,13.030399659863951,15.642006802721093,18.72342687074831,23.03465136054422,28.934948979591834,36.27232142857141,47.31292517006804,60.329506802721056,80.76636904761902,106.96534863945583,140.93005952380955,184.19430272108843,237.94642857142853,284.22300170068036,335.63988095238113,412.15029761904754,488.3428996598639,559.4781037414964,621.8941326530613,671.0310374149659,694.6184098639454,702.950680272109,686.0926870748302,644.3622448979594,583.9636479591835,510.3273809523809,430.3900935374152,366.85480442176885,305.3784013605443,233.2344812925169,176.67729591836738,131.58907312925174,95.85565476190474,66.39562074829932,48.294005102040806,34.7937925170068,23.94664115646259,16.111819727891163,11.151147959183675,7.655187074829936,5.043579931972791,3.4683248299319724,2.2937925170068025,1.616709183673468,1.0363520408163258,0.7323554421768702,0.42835884353741455,0.27636054421768713,0.1796343537414966,0.15199829931972791,0.09672619047619048,0.041454081632653066,0.041454081632653066,0.02763605442176871,0.013818027210884355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15-34,,,,,,,1.4810036235862516,2.3077486182789784,3.3188755902053355,4.597653819406315,6.1024486658614245,8.005746495369863,9.552175981845464,11.806394348669523,15.29180849895686,18.426302111928546,22.83957395410125,28.6208411112331,36.04965045203324,44.82266388492369,55.54060978734305,70.85620950916876,89.31819845540059,112.33025877530105,141.55777606969,177.55389627026827,215.96482559203545,261.38227004868037,317.79125947073686,376.4961018996377,435.05224918560793,493.6500311115993,547.6085245781634,586.4120090772665,614.5272867025363,626.4466893598332,618.4468906701806,593.3768895721242,552.6225247977746,497.93839903371025,442.2312506862852,380.4632883130196,314.46643607481434,257.0165806522455,205.97251198711606,160.08519087881112,121.80511328282275,93.65414882324954,71.24281688078769,51.76970096262948,37.64961018996379,27.57402730500348,19.699132535412325,13.882178543977163,10.152904359284069,7.381226895062407,5.144851945389991,3.5151531788733936,2.4504959554921113,1.778393909446944,1.1657699205739172,0.8207971889755131,0.5947805717213864,0.37471176018447366,0.2795468687090518,0.20817320010248538,0.14869514293034666,0.09516489147542184,0.07137366860656637,0.07137366860656637,0.04163464002049705,0.02379122286885546,0.017843417151641595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35-59,,,,,,,1.6186831875607381,2.313532555879496,3.142614188532555,4.011175898931002,5.152150145772594,6.71161321671526,8.255284256559763,10.434584548104958,13.628522837706507,17.272534013605444,22.172011661807577,27.920310981535476,35.642614188532555,43.78340621963071,53.613945578231295,67.56225704567542,84.28996598639453,104.38532555879492,130.97515792031092,162.89480077745378,199.9665937803693,245.63714771622938,299.41296161321674,353.8480928085519,410.66387269193393,468.5219266277939,523.951955782313,567.8735422740527,600.120869776482,618.2066933916421,618.0448250728864,599.9353134110788,564.3400753158406,514.7017735665692,457.1635082604469,394.046707968902,328.92037172011663,270.4148445092323,217.87080903790084,171.48566569484936,131.18045432458706,102.37578960155491,78.55351068999026,56.71707968901845,41.600157920310984,30.731292517006803,22.065415451895046,15.870991253644307,11.532130709426625,8.318452380952378,5.882531584062197,4.18488824101069,3.0004859086491744,2.096392128279884,1.4607628765792027,1.0857021379980563,0.8093415937803691,0.5290330417881439,0.3948007774538387,0.2921525753158406,0.22108843537414968,0.1855563654033042,0.11449222546161324,0.09080417881438291,0.07106413994169097,0.05922011661807581,0.03948007774538386,0.03158406219630709,0.015792031098153546,0.01184402332361516,0.01184402332361516,0.01184402332361516,0.0039480077745383865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60-79,,,,,,,0.811356332828725,1.1220885454014284,1.398294956577164,2.0542851831195375,2.701643959312669,3.487105941093668,4.583300135447369,6.050646694818467,7.897777069556202,10.176479961756021,12.705494914083857,16.14081215308207,20.27527687036887,25.324675324675297,30.909223700634712,38.79836931984167,48.258438902610635,59.910896874086994,75.07635513770474,93.47860728228817,113.08063102541615,137.5594242158658,168.71032852627923,202.76140015403817,239.3760125355217,278.9166865853984,320.8137465806177,358.61086765994736,391.90237165697266,422.4059171911931,441.1016386476508,451.4593790667405,449.26699067803366,435.2408838605154,413.0235306615671,384.341221151037,345.1112793137332,306.40785594773337,266.0471941146787,226.52378296550066,188.66624173372622,156.96292460096126,128.43598119671728,102.16184633362536,80.08259634026496,61.827078851618666,47.1795076089554,35.535681087828294,26.852442036491084,19.80917855150982,14.310944679042827,10.970573393886268,8.156720580033456,5.903912038881361,4.186253419382251,3.185005178870208,2.4513318991846593,1.86439327543622,1.2601917509892966,0.889039385971901,0.6300958754946483,0.5178870209545057,0.3625209146681543,0.2762064111757366,0.16399755663559365,0.13810320558786834,0.07768305314317601,0.06042015244469249,0.04315725174620897,0.04315725174620897,0.02589435104772528,0.02589435104772528,0.017262900698483522,0.017262900698483522,0.017262900698483522,0.017262900698483522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80+,,,,,,,0.7355021216407353,0.9500235737859497,1.256482791136256,1.5016501650165013,1.7161716171617156,1.8081093823668075,2.2984441301272978,2.696841112682696,3.2178217821782167,4.0759075907590745,5.240452616690239,6.527581329561525,8.24375294672324,10.358321546440354,12.84064120697785,15.874587458745888,18.969825553983995,23.0763790664781,29.66525223950967,38.123526638378145,48.91089108910894,62.088637435172096,75.94059405940595,93.77652050919376,113.17538896746815,136.61951909476664,165.91702027345593,197.11456859971713,226.71852899575674,255.70957095709574,281.36020744931636,303.57850070721366,319.6063177746348,323.5902876001887,321.04667609618116,310.47383309759545,296.03960396039616,274.92456388496,249.70297029702974,221.44743045733142,194.20320603488918,164.10891089108912,138.5502121640736,114.00282885431405,93.56199905704854,75.4196133899104,59.299858557284324,44.92692126355495,34.78312116925981,26.41678453559645,20.01178689297503,14.311645450259318,10.97123998114097,8.21310702498821,6.343705799151343,4.627534181989627,3.34040546911834,2.2065063649222063,1.7774634606317778,1.2871287128712872,0.8274398868458275,0.582272512965582,0.3677510608203676,0.27581329561527573,0.18387553041018387,0.15322960867515323,0.12258368694012257,0.09193776520509193,0.030645921735030644,0.030645921735030644,0.030645921735030644,0.030645921735030644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
