,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
0,0.405085044283414,0.19744459780691667,0.056228575154631484,0.04479790185808705,0.028575274940456207,0.03698378883056838,0.05594396040222346,0.045697285091362096,0.03416276029580123,0.028371082747637475,0.02413516950700495,0.02466337012235451,0.023273966994205086,0.020225506553631558,0.011592250178243085,0.012573700615893047,0.01201557133574678,0.012472836356764924,0.00979452515469464,0.01292831947593852
5,0.23693351736829993,0.27629896815811655,0.22389021629778671,0.05646619969536638,0.030259559975383234,0.03363112804513865,0.05563683338240669,0.06012979016703577,0.04666546768154956,0.03911432421227196,0.03035402244263005,0.030387816032347286,0.027671327790375396,0.02528681532587784,0.014178729345691518,0.0149610163904328,0.014056263343544045,0.014774069349962208,0.012334936328580395,0.01512896825396825
10,0.0694300667126754,0.23037978778467902,0.2950463195841718,0.18605797280565797,0.03448132462954971,0.030454680396579465,0.037993968432416994,0.04911062757628893,0.05755041539032769,0.050741147930979995,0.038901104170091495,0.03240235784181099,0.029910399344923174,0.025809464937069104,0.014708181670356613,0.016049834760402584,0.014195210247841823,0.015733654572940285,0.012752499775804867,0.015376984126984128
15,0.057847725442834154,0.060762540976535544,0.19457471099746618,0.33864799894892467,0.05380570741220284,0.03862372379968663,0.03963848514860321,0.044059346929986455,0.05375350026300319,0.05937471208770962,0.05424726469030269,0.04407025989057237,0.04133676618795667,0.029307365570386396,0.014924340500581631,0.015607787541935808,0.014806112503480929,0.015650982615268323,0.013387252264370916,0.014963624338624337
20,0.041123547849091335,0.03628954475308641,0.0401877410295104,0.05996528334491299,0.08280058624658322,0.07688535979538635,0.06617646238746575,0.06325438161375657,0.06586605402394878,0.07603413981678907,0.08480620703721965,0.07856830488666428,0.07376842403628117,0.04966282993626745,0.01729016567225787,0.017659721179042947,0.017383737120579213,0.01645408163265306,0.01575811586404807,0.0193176807760141
25,0.06054085432482171,0.04587724532244461,0.04037389848349355,0.04896239734202695,0.08745419324157992,0.09275003161955352,0.08174430302381397,0.07654990694598257,0.07584779850861724,0.07799492534023009,0.08441215957038745,0.08943132966570466,0.08880527210884355,0.05797104853094435,0.02002596251266463,0.01876888154490678,0.01915784832451498,0.018187830687830687,0.018573166083759304,0.02109315948601663
30,0.0721190619967794,0.05976927934015799,0.03966623816975929,0.039571753692124075,0.059278915703575824,0.06437499560839531,0.07635766035850353,0.06955667643349332,0.06226581113277017,0.06028934773881909,0.059109117851206434,0.0589237332401395,0.0597026958931721,0.043540877525252514,0.013830451736775618,0.013878978685761018,0.014004919706674097,0.014340632086167801,0.013589027889875356,0.014526643990929698
35,0.06834724378881986,0.07494437615021853,0.059486112275504904,0.05103170149466447,0.06573869267411564,0.06994201325210621,0.08069982021288932,0.08282961117263438,0.07616291887125219,0.07051568381636789,0.06882435719461037,0.06583341788419916,0.06741795792391034,0.04948715202621453,0.01660748683502821,0.016345576085323717,0.017434210526315785,0.016291690287226004,0.015943076854093807,0.01698318216175359
40,0.06349817402806533,0.07228075157196534,0.08662958654706011,0.07737246249977732,0.08506869515177672,0.08612200229066103,0.08977616950846296,0.09465013900424502,0.09726554039419538,0.09466227065729547,0.08765815174043022,0.08614570650703461,0.0833704963466868,0.0613773523929774,0.021182001826209856,0.021025017525411836,0.02161770166156132,0.020722316704459554,0.021312550443906383,0.020144400352733682
45,0.04958771854152288,0.05697086352657004,0.07182373756427451,0.08036577191669785,0.09234357766268643,0.0832774501640703,0.08174137534909033,0.08240495608773225,0.08901574924966736,0.09274456915159655,0.08889785056715437,0.08379754107293169,0.08286485890652555,0.06013649014951098,0.02087437614919885,0.020063467027189422,0.02118983802097837,0.02047371031746031,0.02096925163662451,0.020400289745527846
50,0.0455944832643202,0.04778558967870561,0.05951594986586183,0.0793617390839613,0.11132415999296663,0.0974158919876051,0.08662027556947453,0.0869307651193552,0.08909348989758344,0.09608486584932481,0.10388107263107267,0.09901552259950706,0.09524801587301586,0.06600416366041367,0.021342068808085354,0.02086880142873834,0.02177028218694885,0.021067767384731664,0.022670332257196658,0.02435279667422524
55,0.0377456794916034,0.03875547551951539,0.040160668874357236,0.052231419129567275,0.08355300096708707,0.08361176106860034,0.06995330219402729,0.06736442760243624,0.07093166945140629,0.07337496133749245,0.0802151069160563,0.08645326028138528,0.08195452254976061,0.05590879028379026,0.019269992932817986,0.01852973269574216,0.019518994244871437,0.018990339191232043,0.018489092906465793,0.018904320987654325
60,0.026562679721647112,0.02631783893106356,0.0276460557325434,0.03653502062066879,0.05850214897137104,0.06191602637070765,0.05285651828653518,0.05144538940414664,0.05119241003743927,0.054109516077022295,0.057543392788645946,0.061116653890091376,0.06386117409926932,0.04778141659652075,0.01577040883335209,0.012924730442474922,0.012180915251090696,0.012275014172335607,0.011299435028248593,0.01309366339128244
65,0.023215364044168397,0.02418738857257879,0.023991896983754372,0.026050991618121248,0.03961023294010454,0.04064902207747493,0.038768268690275436,0.037978512020118115,0.03790320709180358,0.03949262039669377,0.04010379564177032,0.04193159271284272,0.04805445326278659,0.044565195606862285,0.028274982175691406,0.020670336571361813,0.016290436739998148,0.015683460884353736,0.014785669446686396,0.015691924918115392
70,0.010659830055210486,0.010865221944252742,0.010953452194649375,0.010627939447383892,0.011047945739222178,0.011249644280022767,0.009865566753214322,0.010210707748861817,0.010479516692966984,0.01098241431730238,0.01038860196296905,0.011578419049122176,0.012706443688586547,0.0226521164021164,0.02724304851964426,0.025505733313304284,0.01813677712800519,0.016459396258503397,0.017809501390009867,0.015121094734189967
75,0.008664919772256731,0.008591743108273906,0.00895739017437961,0.00832940850301961,0.008456392165795494,0.007901375099250261,0.0074192854020004,0.007531319213732,0.007795240415854453,0.00791059583037195,0.0076126697962141015,0.00834364384169072,0.007804075333837236,0.012410031615760785,0.01911422567450936,0.016714339959608106,0.017101492156316723,0.01594033446712018,0.015266287776880992,0.014625062988158225
80,0.0074444300667126755,0.007257309878460241,0.00712259669125866,0.007103942867831756,0.007483935165204049,0.007250978449517629,0.006730863602701709,0.007222020348837212,0.0072059005538537705,0.007511323179078152,0.007139850889850893,0.007901865567881193,0.00661249685059209,0.008793133467612634,0.012219814377024782,0.015375158563250044,0.021465701290262693,0.01722293083900227,0.0207870930858219,0.012865331317712274
85,0.00379608063031976,0.003747046574265778,0.0038780134510768296,0.003688783781376374,0.003479715148899439,0.003381535586050857,0.003385646698252092,0.0033151695351913385,0.003393127881431975,0.0035650739358761754,0.003394116724812927,0.003776487907347282,0.003273337112622826,0.004158493416305917,0.005447554317235168,0.007039895348254972,0.008460387078808128,0.00899707105064248,0.010147632499327411,0.013042485512723613
90,0.0012562543133195305,0.0013184080496127595,0.0013246434626276173,0.001329710241747278,0.001404424223532985,0.001455267993282601,0.0013520280699875983,0.0013672115325458355,0.0014706906154274568,0.0015387883663692122,0.0015391825122837777,0.0015495120475589224,0.0012698412698412696,0.0016521865480198814,0.0024840675697649682,0.0028413595546876295,0.004303292954608744,0.0042765022675736964,0.008841695812034783,0.014684114386495334
